"expName","subjectId","subjectGender","subjectAge","session","block","trial","targetOri","targetPos","distrMean","dtype","dsd","targetDist","t_dist_to_prev_d","rt","correct","prev_correct"
"distr_stats",1,"F",26,1,0,"0",166,11,51,"norm",10,-65,NA,949.935604476,1,NA
"distr_stats",1,"F",26,1,0,"1",166,24,51,"norm",10,-65,NA,732.896350745,1,1
"distr_stats",1,"F",26,1,0,"2",166,23,51,"norm",10,-65,NA,623.737920323,1,1
"distr_stats",1,"F",26,1,0,"3",166,26,51,"norm",10,-65,NA,795.503561751,1,1
"distr_stats",1,"F",26,1,0,"4",166,7,51,"norm",10,-65,NA,888.690341396,1,1
"distr_stats",1,"F",26,1,0,"5",166,17,51,"norm",10,-65,NA,577.098790114,1,1
"distr_stats",1,"F",26,1,0,"6",166,17,51,"norm",10,-65,NA,576.836396477,1,1
"distr_stats",1,"F",26,1,1,"0",174,14,71,"norm",15,-77,-57,670.536360955,1,1
"distr_stats",1,"F",26,1,1,"1",174,9,71,"norm",15,-77,-57,2811.64924912,1,1
"distr_stats",1,"F",26,1,1,"2",174,14,71,"norm",15,-77,-57,1249.26917819,1,1
"distr_stats",1,"F",26,1,1,"3",174,5,71,"norm",15,-77,-57,1327.0443479,1,1
"distr_stats",1,"F",26,1,1,"4",174,28,71,"norm",15,-77,-57,1013.98642673,1,1
"distr_stats",1,"F",26,1,1,"5",174,12,71,"norm",15,-77,-57,826.759195628,1,1
"distr_stats",1,"F",26,1,2,"0",124,32,51,"norm",5,73,53,998.734573466,1,1
"distr_stats",1,"F",26,1,2,"1",124,29,51,"norm",5,73,53,655.550917555,1,1
"distr_stats",1,"F",26,1,2,"2",124,18,51,"norm",5,73,53,717.747134446,1,1
"distr_stats",1,"F",26,1,2,"3",124,9,51,"norm",5,73,53,780.359700423,1,1
"distr_stats",1,"F",26,1,2,"4",124,33,51,"norm",5,73,53,733.1167971,1,1
"distr_stats",1,"F",26,1,2,"5",124,33,51,"norm",5,73,53,608.127283921,1,1
"distr_stats",1,"F",26,1,3,"0",162,17,71,"norm",10,-89,-69,1045.50579299,1,1
"distr_stats",1,"F",26,1,3,"1",162,33,71,"norm",10,-89,-69,749.362890202,1,1
"distr_stats",1,"F",26,1,3,"2",162,15,71,"norm",10,-89,-69,795.56335894,1,1
"distr_stats",1,"F",26,1,3,"3",162,5,71,"norm",10,-89,-69,670.829099435,1,1
"distr_stats",1,"F",26,1,3,"4",162,12,71,"norm",10,-89,-69,780.308828188,1,1
"distr_stats",1,"F",26,1,4,"0",35,22,111,"norm",5,-76,-36,733.115012109,1,1
"distr_stats",1,"F",26,1,4,"1",35,22,111,"norm",5,-76,-36,608.057223035,1,1
"distr_stats",1,"F",26,1,4,"2",35,14,111,"norm",5,-76,-36,749.05319431,1,1
"distr_stats",1,"F",26,1,4,"3",35,8,111,"norm",5,-76,-36,733.158298135,1,1
"distr_stats",1,"F",26,1,4,"4",35,13,111,"norm",5,-76,-36,686.492393064,1,1
"distr_stats",1,"F",26,1,4,"5",35,5,111,"norm",5,-76,-36,701.881244369,1,1
"distr_stats",1,"F",26,1,4,"6",35,1,111,"norm",5,-76,-36,624.12169333,1,1
"distr_stats",1,"F",26,1,5,"0",103,16,11,"norm",10,-88,-8,826.996599395,1,1
"distr_stats",1,"F",26,1,5,"1",103,22,11,"norm",10,-88,-8,670.382851753,1,1
"distr_stats",1,"F",26,1,5,"2",103,1,11,"norm",10,-88,-8,623.708467976,1,1
"distr_stats",1,"F",26,1,5,"3",103,22,11,"norm",10,-88,-8,639.212004936,1,1
"distr_stats",1,"F",26,1,5,"4",103,35,11,"norm",10,-88,-8,1311.30206843,1,1
"distr_stats",1,"F",26,1,6,"0",117,28,51,"norm",15,66,-74,639.592654208,1,1
"distr_stats",1,"F",26,1,6,"1",117,1,51,"norm",15,66,-74,686.101926342,1,1
"distr_stats",1,"F",26,1,6,"2",117,34,51,"norm",15,66,-74,655.486657889,1,1
"distr_stats",1,"F",26,1,6,"3",117,30,51,"norm",15,66,-74,1342.48674892,0,1
"distr_stats",1,"F",26,1,6,"4",117,16,51,"norm",15,66,-74,514.472836706,1,0
"distr_stats",1,"F",26,1,7,"0",74,6,11,"norm",5,63,23,623.604938514,1,1
"distr_stats",1,"F",26,1,7,"1",74,20,11,"norm",5,63,23,717.783726755,1,1
"distr_stats",1,"F",26,1,7,"2",74,13,11,"norm",5,63,23,624.007007675,1,1
"distr_stats",1,"F",26,1,7,"3",74,25,11,"norm",5,63,23,1420.8353469,1,1
"distr_stats",1,"F",26,1,7,"4",74,25,11,"norm",5,63,23,701.89061557,1,1
"distr_stats",1,"F",26,1,7,"5",74,16,11,"norm",5,63,23,577.062644051,1,1
"distr_stats",1,"F",26,1,7,"6",74,23,11,"norm",5,63,23,576.949743388,1,1
"distr_stats",1,"F",26,1,8,"0",39,17,131,"norm",10,88,28,608.255357005,1,1
"distr_stats",1,"F",26,1,8,"1",39,18,131,"norm",10,88,28,608.185296119,1,1
"distr_stats",1,"F",26,1,8,"2",39,6,131,"norm",10,88,28,545.664657164,1,1
"distr_stats",1,"F",26,1,8,"3",39,29,131,"norm",10,88,28,607.799291875,1,1
"distr_stats",1,"F",26,1,8,"4",39,0,131,"norm",10,88,28,655.288970166,1,1
"distr_stats",1,"F",26,1,9,"0",7,4,91,"norm",15,-84,56,1577.13672117,1,1
"distr_stats",1,"F",26,1,9,"1",7,31,91,"norm",15,-84,56,842.559487295,1,1
"distr_stats",1,"F",26,1,9,"2",7,9,91,"norm",15,-84,56,1123.35370107,1,1
"distr_stats",1,"F",26,1,9,"3",7,11,91,"norm",15,-84,56,1264.37867844,1,1
