d_ori_22,d_ori_23,d_ori_20,d_ori_21,set_size,ctpd,d_ori_24,d_ori_25,d_ori_28,d_ori_29,stim_pos_x_30,stim_pos_x_31,stim_pos_x_32,stim_pos_x_33,stim_pos_x_34,stim_pos_x_35,stim_pos_y_11,stim_pos_y_10,stim_pos_y_13,stim_pos_y_12,stim_pos_y_15,stim_pos_y_14,stim_pos_y_17,stim_pos_y_16,stim_pos_y_19,stim_pos_y_18,d_ori_35,d_ori_34,stim_pos_x_3,d_ori_31,d_ori_30,d_ori_33,d_ori_32,d_ori_26,test_set_size,d_ori_27,targetCol,dsd_test,seq_type,dsd,blockRepN,targetDist,dtype_test,prime_set_size,stim_pos_y_25,correctResponse,dtype,distrMean,d_ori_17,d_ori_16,d_ori_15,d_ori_14,targetRow,d_ori_11,d_ori_13,d_ori_12,dsd_prime,streak_length_prime,stim_pos_y_35,stim_pos_y_34,stim_pos_y_33,stim_pos_y_32,stim_pos_y_31,stim_pos_y_30,d_ori_10,nextProbe,targetOri,stim_pos_x_1,stim_pos_x_2,ctpd_prime,stim_pos_x_4,stim_pos_x_5,stim_pos_x_6,stim_pos_x_7,stim_pos_x_8,stim_pos_x_9,stim_pos_y_28,stim_pos_y_29,targetPos,stim_pos_y_20,stim_pos_y_21,stim_pos_y_22,stim_pos_y_23,stim_pos_y_24,stim_pos_x_0,stim_pos_y_26,stim_pos_y_27,d_ori_9,d_ori_8,d_ori_3,d_ori_2,d_ori_1,d_ori_0,d_ori_7,d_ori_6,d_ori_5,d_ori_4,trialN,dtype_prime,stim_pos_x_18,stim_pos_x_19,stim_pos_x_12,stim_pos_x_13,stim_pos_x_10,stim_pos_x_11,stim_pos_x_16,stim_pos_x_17,stim_pos_x_14,stim_pos_x_15,stim_pos_y_9,stim_pos_y_8,d_ori_19,d_ori_18,stim_pos_y_1,stim_pos_y_0,stim_pos_y_3,stim_pos_y_2,stim_pos_y_5,stim_pos_y_4,stim_pos_y_7,stim_pos_y_6,totBlockN,stim_pos_x_27,stim_pos_x_26,stim_pos_x_25,stim_pos_x_24,stim_pos_x_23,stim_pos_x_22,stim_pos_x_21,stim_pos_x_20,blockN,stim_pos_x_29,stim_pos_x_28,prevDistrCTPD,prevDistrMean,prevDistrType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,timeStart,timeBeforeDraw,timeDraw,timeAfterSaving,timeAfterWritingToTemp,timeAfterPreparingNext,answer,correct,rt,trialScore,session,participant,resolution,cpu_info,expName,pc_name,graphic_card,date,monitorName,
11.5,1.9,-7.3,11.7,36,20,12.9,12.3,5.1,-3.0,8.141,8.096,8.3,7.861,7.626,8.171,8.492,4.816,-4.659,-7.76,1.517,-1.491,7.876,4.675,-4.556,-8.27,15.1,-7.7,-8.174,27.4,,11.2,3.8,3.5,36,5.0,5,5,prime,10,0,88,norm,36,-4.62,down,norm,12.3243717645,20.6,19.1,13.5,0.9,0,17.9,4.7,15.9,10,5,7.862,4.788,1.421,-1.44,-5.197,-7.729,12.7,5,100.3,-8.251,-8.426,20,-8.478,-8.482,-4.837,-4.617,-4.705,-4.715,5.076,7.867,30,-1.96,1.108,4.499,8.044,-8.166,-7.59,-1.653,1.61,11.8,4.9,16.8,20.3,32.3,23.3,11.2,2.1,14.5,10.8,0,norm,1.574,1.578,-1.336,-1.168,-4.485,-5.169,-1.776,-1.516,-1.703,-1.714,2.091,-1.601,14.1,2.2,-4.568,-8.318,1.147,-1.889,8.035,5.254,-4.876,-7.561,0,4.73,5.218,5.036,4.784,2.061,1.422,1.663,2.03,0,5.228,5.257,,,,0,0,0,0,3477.124,3477.156,3477.17517912,3477.175,3477.176,3477.178,down,1,1.8950729098,8.1049270902,001,002,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Sep_20_1226,testMonitor,
9.8,24.5,12.1,5.8,36,20,,10.1,15.0,16.6,7.505,8.269,7.894,7.789,8.319,8.488,7.718,5.246,-4.744,-8.178,1.742,-1.764,8.168,4.768,-4.821,-7.664,28.3,14.6,-7.809,-3.6,8.1,24.4,12.2,25.7,36,11.2,4,5,prime,10,0,81,norm,36,-4.775,down,norm,12.3243717645,3.0,16.7,14.7,8.8,0,27.4,7.8,0.0,10,5,8.3,5.182,2.083,-1.211,-4.431,-8.405,14.8,5,93.3,-7.584,-8.398,20,-8.053,-7.553,-4.824,-4.601,-5.265,-4.708,4.71,8.13,24,-1.746,1.796,4.937,8.291,-7.52,-7.573,-1.856,2.061,18.0,12.7,-0.2,4.6,9.5,23.3,-7.5,-7.7,5.1,17.3,1,norm,1.554,1.893,-1.91,-1.396,-4.726,-5.008,-1.535,-1.799,-1.579,-1.426,1.967,-1.727,16.4,3.5,-4.956,-8.134,1.163,-1.363,7.569,4.681,-4.57,-8.315,0,5.17,5.201,4.564,4.324,1.564,1.436,1.695,1.84,0,4.316,4.418,,,,0,1,1,1,3479.116,3479.131,3479.14762858,3479.148,3479.149,3479.152,down,1,2.95167629611,7.04832370389,001,002,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Sep_20_1226,testMonitor,
24.4,26.5,16.3,11.4,36,20,9.2,21.1,28.7,14.6,7.568,7.846,7.748,7.797,8.458,8.085,7.787,4.999,-4.352,-7.791,1.109,-1.451,8.447,4.314,-4.832,-7.773,18.5,,-7.528,14.4,3.8,23.8,-7.1,14.8,36,13.8,5,5,prime,10,0,113,norm,36,-4.713,up,norm,12.3243717645,17.8,32.3,16.4,8.0,4,4.5,19.1,11.7,10,5,8.419,5.212,1.779,-1.666,-4.52,-8.467,2.8,5,125.3,-8.166,-7.836,20,-7.932,-7.907,-4.582,-4.432,-5.043,-4.515,4.73,7.755,34,-1.981,1.601,5.295,8.291,-8.271,-8.378,-1.959,1.884,27.1,20.6,5.4,7.5,-7.7,6.7,29.3,5.5,18.4,24.5,2,norm,1.208,1.258,-1.977,-1.577,-5.092,-4.62,-1.104,-1.225,-1.818,-1.437,2.055,-1.62,9.4,30.8,-4.604,-7.539,1.492,-1.484,7.627,4.899,-4.959,-7.596,0,4.793,4.462,4.869,4.953,1.311,1.854,1.164,1.842,0,4.692,5.23,,,,0,2,2,2,3482.135,3482.146,3482.15621252,3482.156,3482.158,3482.161,up,1,4.98309079367,5.01690920633,001,002,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Sep_20_1226,testMonitor,
22.0,25.1,12.6,22.4,36,20,17.5,14.3,26.1,5.7,8.031,7.901,7.679,7.509,8.252,7.609,8.32,4.965,-4.363,-7.737,1.101,-1.113,8.077,4.312,-4.667,-7.735,13.9,,-7.923,13.6,-1.1,12.7,6.2,28.4,36,10.7,5,5,prime,10,0,60,norm,36,-4.561,up,norm,12.3243717645,5.4,20.8,18.6,5.0,4,21.7,15.8,-5.9,10,5,7.576,4.366,1.152,-1.124,-4.741,-7.641,7.9,5,72.3,-8.153,-8.443,20,-8.263,-8.049,-4.414,-4.537,-4.315,-5.135,5.003,8.494,34,-1.626,1.479,4.871,8.365,-8.123,-7.725,-1.307,1.918,-2.3,21.7,5.2,1.6,11.9,6.4,32.3,25.1,21.3,19.9,3,norm,1.182,1.524,-1.854,-1.592,-4.369,-4.895,-1.65,-2.062,-1.791,-1.242,2.03,-1.522,4.0,-7.7,-4.63,-7.904,1.577,-1.999,7.783,4.571,-4.306,-7.883,0,4.755,5.092,4.417,4.589,2.068,1.196,1.371,1.75,0,4.387,4.788,,,,0,3,3,3,3487.164,3487.174,3487.18014422,3487.18,3487.182,3487.185,up,1,6.28957396914,3.71042603086,001,002,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Sep_20_1226,testMonitor,
13.3,17.4,14.5,27.8,36,20,6.1,21.8,23.2,-2.7,7.91,7.863,8.159,7.7,7.965,7.656,8.107,4.759,-4.624,-8.245,1.817,-1.512,8.006,4.445,-4.891,-8.246,19.1,19.6,-7.666,32.3,8.2,16.5,-7.3,24.3,36,15.6,3,5,prime,10,0,90,norm,36,-4.772,down,norm,12.3243717645,21.0,3.3,10.0,9.3,0,2.6,4.1,13.3,10,5,7.776,4.605,1.794,-1.948,-5.1,-8.239,16.2,5,102.3,-8.38,-8.358,20,-8.084,-7.995,-4.921,-4.572,-4.334,-4.669,5.117,8.282,18,-1.535,2.004,5.242,8.416,-8.058,-7.694,-1.241,1.596,9.2,17.4,6.4,7.1,13.6,9.4,25.6,-7.7,9.0,14.1,4,norm,1.982,1.379,-1.431,-1.367,-4.533,-5.003,-1.453,-1.653,-1.599,-1.453,1.784,-1.157,24.0,,-4.388,-8.268,1.428,-1.446,7.984,4.339,-4.92,-8.004,0,4.951,4.85,5.116,4.647,1.194,1.99,2.009,2.09,0,4.871,4.346,,,,0,4,4,4,3493.507,3493.517,3493.52794159,3493.528,3493.53,3493.533,down,1,3.41504964338,6.58495035662,001,002,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Sep_20_1226,testMonitor,
108.2,113.0,103.1,98.8,36,-80,106.0,114.2,103.9,108.5,8.137,7.808,7.751,7.643,8.381,8.31,7.936,5.243,-4.564,-7.979,1.902,-1.769,7.884,5.108,-4.833,-8.045,105.1,103.5,-7.822,107.9,112.0,103.4,108.5,117.6,36,114.9,3,5,probe,5,0,76,norm,36,-4.328,down,norm,107.593960198,113.1,114.6,97.6,102.9,1,106.3,108.6,102.5,10,5,8.107,4.71,1.543,-1.989,-4.88,-7.727,105.6,2,31.6,-8.083,-7.729,20,-8.005,-8.368,-4.722,-5.156,-4.967,-5.008,4.569,7.666,19,-1.979,1.661,5.081,8.124,-7.842,-8.43,-1.342,2.038,100.7,113.3,103.3,104.1,101.6,102.5,112.3,109.8,110.1,103.0,0,norm,1.999,1.39,-1.992,-1.313,-5.205,-5.006,-1.842,-1.111,-2.076,-1.585,1.661,-1.18,,105.6,-5.145,-7.838,2.03,-1.91,8.218,4.655,-4.785,-8.444,1,4.796,5.104,4.909,5.093,1.897,1.834,2.089,1.894,1,4.608,4.527,20,12.3243717645,norm,0,5,5,5,3496.981,3496.994,3497.01317988,3497.013,3497.015,3497.018,down,1,1.91005270563,8.08994729437,001,002,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Sep_20_1226,testMonitor,
113.8,,112.3,98.6,36,-80,113.1,116.6,101.9,115.9,8.396,7.988,8.215,8.236,8.407,7.699,7.836,5.178,-4.332,-8.168,1.457,-1.627,7.724,4.539,-4.663,-8.467,114.1,105.9,-7.946,112.4,112.2,105.2,108.9,111.3,36,110.0,3,5,probe,5,0,77,norm,36,-4.325,up,norm,108.593960198,105.0,118.6,110.1,109.0,5,112.0,109.5,106.0,10,5,8.152,4.379,1.904,-1.402,-4.903,-7.772,108.0,2,31.6,-7.539,-8.337,20,-8.153,-8.079,-4.936,-5.178,-5.243,-4.474,4.956,7.642,23,-1.789,1.948,5.135,7.731,-7.543,-7.95,-1.799,1.402,107.1,103.8,115.9,108.1,108.5,118.0,111.2,99.9,114.1,104.1,1,norm,1.817,1.541,-1.919,-1.879,-5.057,-4.418,-2.016,-1.925,-1.623,-1.45,1.976,-1.648,102.5,106.9,-4.601,-8.314,2.037,-1.688,7.731,5.235,-4.874,-7.809,1,4.51,4.923,4.795,5.1,1.739,1.678,1.821,2.028,1,4.964,4.582,20,12.3243717645,norm,0,6,6,6,3498.961,3498.975,3498.993123,3498.993,3498.995,3498.998,up,1,1.19872807416,8.80127192584,001,002,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Sep_20_1226,testMonitor,
158.9,154.3,165.0,,36,40,155.4,161.6,153.2,163.2,7.991,7.557,7.96,7.517,8.22,7.821,8.42,4.799,-4.547,-7.707,1.874,-1.6,8.304,4.982,-4.667,-7.854,165.0,162.6,-7.922,174.1,182.8,168.5,162.5,167.6,36,167.2,3,5,prime,10,0,92,norm,36,-4.704,up,norm,164.533511532,155.9,168.0,164.0,184.5,3,168.3,168.3,158.0,10,5,7.917,4.325,1.416,-1.231,-4.631,-8.057,158.7,5,256.5,-7.984,-8.164,40,-8.102,-7.569,-5.103,-5.07,-4.32,-4.338,5.27,7.641,21,-1.585,1.528,4.459,8.052,-7.929,-7.802,-1.523,1.794,162.4,183.1,173.8,144.5,168.7,151.4,159.6,171.9,179.2,162.1,0,norm,1.757,1.347,-1.391,-1.506,-4.887,-4.634,-1.197,-1.65,-2.085,-1.651,1.352,-1.674,144.7,169.4,-5.204,-8.479,1.972,-1.648,7.622,5.107,-5.139,-8.347,2,5.298,4.437,4.953,4.373,1.73,1.979,1.13,1.155,2,4.383,4.338,-80,12.3243717645,norm,0,7,7,7,3500.236,3500.245,3500.25244308,3500.253,3500.254,3500.257,up,1,1.57100952058,8.42899047942,001,002,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Sep_20_1226,testMonitor,
154.1,157.4,168.6,154.0,36,40,156.1,144.5,166.4,178.9,8.459,7.952,7.714,7.554,8.323,8.239,8.326,4.933,-4.626,-7.933,1.864,-1.584,7.765,4.517,-4.758,-7.586,182.9,146.6,-8.37,165.8,151.6,161.8,170.9,156.2,36,169.6,2,5,prime,10,0,75,norm,36,-4.749,down,norm,164.533511532,151.6,150.1,156.5,169.4,1,151.2,,171.1,10,5,8.482,4.401,1.341,-1.675,-4.627,-7.942,146.6,5,239.5,-8.249,-7.523,40,-7.87,-8.496,-4.76,-4.619,-5.018,-4.741,4.461,7.641,13,-1.688,1.797,4.748,8.314,-8.061,-8.247,-1.726,1.418,184.5,170.2,160.8,159.9,155.6,167.0,169.0,172.8,169.1,162.9,1,norm,1.801,1.854,-1.733,-1.484,-5.097,-4.766,-2.019,-1.915,-1.166,-1.297,2.024,-1.877,158.1,167.3,-5.166,-8.226,2.054,-2.07,7.638,4.527,-4.305,-7.731,2,4.936,4.624,4.524,5.13,1.194,1.249,1.646,1.775,2,4.862,5.076,-80,12.3243717645,norm,0,8,8,8,3501.844,3501.853,3501.86028285,3501.86,3501.862,3501.865,down,1,1.85734919161,8.14265080839,001,002,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Sep_20_1226,testMonitor,
162.7,181.3,148.5,184.5,36,40,161.5,163.2,144.5,163.9,7.802,8.298,8.003,7.523,8.201,7.809,8.457,5.144,-4.341,-8.261,1.45,-1.207,8.275,4.848,-4.504,-7.743,166.1,158.9,-8.373,146.6,168.3,164.7,152.1,167.0,36,167.9,1,5,prime,10,0,75,norm,36,-4.808,up,norm,164.533511532,154.7,165.6,167.6,169.4,4,171.6,155.5,173.0,10,5,8.018,4.637,2.026,-1.821,-4.694,-7.79,,5,239.5,-7.82,-7.734,40,-8.271,-8.484,-4.696,-4.694,-4.347,-4.525,4.956,7.652,10,-1.857,1.683,4.667,8.208,-7.663,-7.55,-1.279,1.614,151.1,172.5,168.3,174.4,166.1,154.7,178.2,161.7,157.3,170.6,2,norm,1.561,1.37,-1.699,-1.215,-5.066,-5.039,-2.039,-1.697,-1.334,-2.021,1.737,-2.034,164.8,166.7,-4.896,-7.817,1.866,-1.748,8.346,4.998,-5.196,-7.98,2,4.82,4.729,4.449,4.637,1.139,2.075,1.965,1.777,2,5.234,4.621,-80,12.3243717645,norm,0,9,9,9,3503.755,3503.765,3503.77691916,3503.777,3503.779,3503.781,up,1,1.75901445519,8.24098554481,001,002,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Sep_20_1226,testMonitor,
