d_ori_22,d_ori_23,d_ori_20,d_ori_21,set_size,ctpd,d_ori_24,d_ori_25,d_ori_28,d_ori_29,stim_pos_x_30,stim_pos_x_31,stim_pos_x_32,stim_pos_x_33,stim_pos_x_34,stim_pos_x_35,stim_pos_y_11,stim_pos_y_10,stim_pos_y_13,stim_pos_y_12,stim_pos_y_15,stim_pos_y_14,stim_pos_y_17,stim_pos_y_16,stim_pos_y_19,stim_pos_y_18,d_ori_35,d_ori_34,stim_pos_x_3,d_ori_31,d_ori_30,d_ori_33,d_ori_32,d_ori_26,test_set_size,d_ori_27,targetCol,dsd_test,seq_type,dsd,blockRepN,targetDist,dtype_test,prime_set_size,stim_pos_y_25,correctResponse,dtype,distrMean,d_ori_17,d_ori_16,d_ori_15,d_ori_14,targetRow,d_ori_11,d_ori_13,d_ori_12,dsd_prime,streak_length_prime,stim_pos_y_35,stim_pos_y_34,stim_pos_y_33,stim_pos_y_32,stim_pos_y_31,stim_pos_y_30,d_ori_10,nextProbe,targetOri,stim_pos_x_1,stim_pos_x_2,ctpd_prime,stim_pos_x_4,stim_pos_x_5,stim_pos_x_6,stim_pos_x_7,stim_pos_x_8,stim_pos_x_9,stim_pos_y_28,stim_pos_y_29,targetPos,stim_pos_y_20,stim_pos_y_21,stim_pos_y_22,stim_pos_y_23,stim_pos_y_24,stim_pos_x_0,stim_pos_y_26,stim_pos_y_27,d_ori_9,d_ori_8,d_ori_3,d_ori_2,d_ori_1,d_ori_0,d_ori_7,d_ori_6,d_ori_5,d_ori_4,trialN,dtype_prime,stim_pos_x_18,stim_pos_x_19,stim_pos_x_12,stim_pos_x_13,stim_pos_x_10,stim_pos_x_11,stim_pos_x_16,stim_pos_x_17,stim_pos_x_14,stim_pos_x_15,stim_pos_y_9,stim_pos_y_8,d_ori_19,d_ori_18,stim_pos_y_1,stim_pos_y_0,stim_pos_y_3,stim_pos_y_2,stim_pos_y_5,stim_pos_y_4,stim_pos_y_7,stim_pos_y_6,totBlockN,stim_pos_x_27,stim_pos_x_26,stim_pos_x_25,stim_pos_x_24,stim_pos_x_23,stim_pos_x_22,stim_pos_x_21,stim_pos_x_20,blockN,stim_pos_x_29,stim_pos_x_28,prevDistrCTPD,prevDistrMean,prevDistrType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,timeStart,timeBeforeDraw,timeDraw,timeAfterSaving,timeAfterWritingToTemp,timeAfterPreparingNext,answer,correct,rt,trialScore,session,participant,resolution,cpu_info,expName,pc_name,graphic_card,date,monitorName,
0.8,5.0,-11.6,-6.2,36,20,3.5,17.3,26.9,5.0,7.802,8.495,7.934,8.268,7.651,8.441,7.518,4.401,-5.206,-7.608,1.523,-1.595,7.744,4.617,-4.886,-8.472,7.3,11.8,-7.596,2.5,0.8,14.7,2.7,19.3,36,10.2,2,5,prime,10,0,67,norm,36,-5.201,up,norm,8.43650593756,1.1,,13.8,21.3,4,16.5,5.5,6.8,10,6,8.393,5.175,1.82,-1.753,-4.455,-8.359,14.3,6,75.4,-8.476,-7.995,20,-7.72,-7.692,-5.161,-5.004,-4.718,-4.855,4.861,7.936,16,-1.801,1.799,4.969,8.472,-8.196,-8.068,-2.02,1.606,-0.1,-5.8,5.3,10.2,1.8,5.4,2.6,0.4,-6.2,28.4,0,norm,1.938,1.181,-1.321,-1.627,-4.815,-5.141,-1.657,-1.616,-1.908,-1.92,1.875,-1.484,16.0,-2.2,-4.52,-8.337,1.834,-1.299,7.951,4.37,-5.009,-8.375,0,5.265,4.435,4.695,4.792,1.533,2.038,1.786,1.339,0,4.431,4.422,,,,0,0,0,0,696.108,696.124,696.145242492,696.146,696.146,696.149,up,1,17.3790307746,-7.37903077461,001,315,1600_900,Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,orientation_search,Thebeast,AMD Radeon HD 7500M/7600M Series,2018_Nov_08_1356,testMonitor,
1.9,2.2,16.5,-2.3,36,20,,15.3,-0.9,-11.0,7.638,8.228,7.522,8.402,8.4,8.283,8.073,4.714,-4.927,-7.538,1.207,-1.995,8.443,4.987,-4.993,-7.928,-1.3,9.5,-8.209,28.2,26.5,-0.1,-0.7,-4.0,36,-3.4,4,5,prime,10,0,75,norm,36,-4.901,down,norm,8.43650593756,12.6,28.4,18.5,12.1,0,-11.6,25.4,6.8,10,6,7.583,4.648,1.726,-1.113,-4.898,-8.431,10.2,6,83.4,-8.32,-8.205,20,-7.886,-7.925,-5.069,-4.947,-4.664,-4.311,4.823,8.357,24,-1.896,1.372,4.485,8.157,-7.69,-7.764,-1.472,1.689,1.7,17.3,4.8,-4.3,4.3,-4.5,-3.2,-0.6,16.2,-3.1,1,norm,1.612,2.02,-2.052,-1.184,-4.751,-5.292,-2.092,-1.551,-1.123,-1.556,1.654,-1.273,7.7,8.3,-4.464,-7.508,2.075,-1.717,7.878,5.228,-5.284,-8.362,0,4.477,4.52,4.679,5.21,1.203,2.052,1.572,1.884,0,4.446,4.399,,,,0,1,1,1,713.544,713.554,713.55976382,713.56,713.581,713.584,up,0,7.72617338025,-10,001,315,1600_900,Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,orientation_search,Thebeast,AMD Radeon HD 7500M/7600M Series,2018_Nov_08_1356,testMonitor,
25.1,9.9,11.9,18.5,36,20,4.1,13.2,12.3,-11.6,8.369,8.332,8.012,7.842,8.332,7.689,8.366,5.297,-5.002,-8.461,1.698,-1.844,7.714,4.865,-5.165,-7.726,-5.2,16.4,-7.786,-3.7,0.0,5.3,4.6,4.6,36,10.5,1,5,prime,10,0,115,norm,36,-4.895,up,norm,8.43650593756,13.8,11.5,13.5,28.4,5,,11.0,-3.7,10,6,8.027,4.369,1.317,-1.288,-5.25,-8.021,12.3,6,123.4,-8.142,-7.699,20,-8.225,-7.598,-4.468,-4.687,-4.564,-5.2,4.394,8.129,11,-1.24,2.002,5.061,8.479,-8.398,-8.419,-1.886,1.748,2.3,-9.3,5.1,-4.6,7.3,-0.3,13.0,7.0,20.9,3.0,2,norm,1.714,2.087,-1.24,-1.46,-4.449,-4.401,-1.882,-1.354,-1.502,-1.343,1.745,-1.832,15.2,-9.0,-4.839,-7.602,1.213,-1.563,7.828,4.741,-4.436,-7.953,0,5.084,4.939,4.972,4.966,1.463,1.825,1.395,1.625,0,4.643,4.816,,,,0,2,2,2,722.359,722.369,722.375291416,722.376,722.378,722.38,up,1,2.42930389426,7.57069610574,001,315,1600_900,Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,orientation_search,Thebeast,AMD Radeon HD 7500M/7600M Series,2018_Nov_08_1356,testMonitor,
9.5,18.6,9.3,7.2,36,20,13.1,25.3,-6.9,12.9,7.685,8.461,7.937,8.16,8.343,7.519,8.458,4.368,-4.979,-7.859,1.229,-2.061,7.58,5.295,-4.617,-7.67,2.2,-0.4,-7.501,27.6,10.1,5.0,,10.3,36,-11.6,5,5,prime,10,0,80,norm,36,-4.668,down,norm,8.43650593756,11.6,10.5,6.3,10.9,2,27.3,-2.5,17.5,10,6,7.882,5.265,2.057,-1.826,-4.816,-8.029,28.4,6,88.4,-7.699,-8.355,20,-7.601,-8.123,-4.535,-4.538,-5.145,-4.776,4.875,7.739,32,-1.105,1.276,4.663,7.957,-8.393,-7.602,-1.562,1.665,9.3,14.1,14.8,-0.4,-1.2,20.8,2.0,1.7,12.6,-5.7,3,norm,1.214,1.347,-1.773,-1.333,-5.172,-5.172,-2.041,-2.045,-1.802,-1.929,1.688,-1.258,4.5,7.6,-4.755,-8.254,1.909,-1.422,7.67,5.25,-5.243,-7.808,0,4.707,4.399,5.084,5.026,1.969,1.139,1.11,1.684,0,4.593,4.524,,,,0,3,3,3,724.826,724.836,724.841663239,724.842,724.844,724.847,down,1,1.44591962649,8.55408037351,001,315,1600_900,Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,orientation_search,Thebeast,AMD Radeon HD 7500M/7600M Series,2018_Nov_08_1356,testMonitor,
-1.8,-2.3,17.5,8.6,36,20,9.9,11.7,7.3,10.9,7.978,8.019,7.715,7.613,8.446,8.377,7.636,4.378,-4.398,-8.245,1.18,-1.529,8.247,4.406,-4.46,-7.879,2.3,21.4,-7.529,-3.3,-2.2,22.7,3.2,2.1,36,,4,5,prime,10,0,90,norm,36,-4.658,up,norm,8.43650593756,2.7,15.4,19.8,12.2,3,20.2,7.4,-11.6,10,6,7.77,5.225,1.806,-1.307,-5.017,-8.348,12.5,6,98.4,-7.748,-7.927,20,-8.305,-8.065,-5.025,-5.154,-4.579,-5.046,4.487,8.479,27,-1.109,2.063,4.475,7.779,-8.429,-7.993,-1.261,1.982,0.9,17.0,2.7,5.9,-11.3,13.8,20.7,16.1,20.1,7.9,4,norm,2.071,2.052,-1.287,-1.114,-5.268,-4.479,-1.91,-1.914,-1.249,-1.125,1.371,-1.627,20.5,12.1,-4.478,-7.51,1.936,-1.846,7.864,4.796,-4.632,-7.841,0,4.416,4.459,4.783,4.395,1.763,1.19,1.948,1.888,0,5.136,5.297,,,,0,4,4,4,726.309,726.32,726.324837111,726.325,726.327,726.33,up,1,1.26273801751,8.73726198249,001,315,1600_900,Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,orientation_search,Thebeast,AMD Radeon HD 7500M/7600M Series,2018_Nov_08_1356,testMonitor,
3.7,-6.5,10.6,20.1,36,20,16.6,18.7,7.2,6.7,8.017,8.348,7.646,7.707,8.011,7.655,7.914,5.28,-4.901,-8.063,1.685,-1.181,8.221,4.964,-4.522,-7.874,12.5,7.1,-8.123,21.1,-10.8,10.1,,28.4,36,6.8,5,5,prime,10,0,89,norm,36,-5.023,down,norm,8.43650593756,4.7,22.6,20.0,15.7,2,10.2,27.9,6.1,10,6,8.335,5.219,1.546,-2.069,-4.665,-7.707,17.5,6,97.4,-8.458,-8.239,20,-7.573,-8.046,-4.503,-4.427,-4.892,-4.717,5.181,7.886,32,-1.884,1.669,5.014,8.036,-8.13,-7.559,-1.812,1.137,20.9,2.0,-1.1,1.7,-2.1,-11.6,5.6,-8.0,4.0,2.7,5,norm,1.874,1.882,-1.698,-1.169,-4.356,-4.499,-1.343,-1.783,-1.45,-1.944,1.557,-1.454,21.8,4.2,-5.282,-7.662,1.991,-1.872,8.363,4.337,-5.189,-8.061,0,4.794,4.42,4.846,5.001,1.142,1.159,1.128,1.483,0,4.633,5.184,,,,0,5,5,5,727.609,727.626,727.641357474,727.642,727.644,727.647,down,1,0.895899139548,9.10410086045,001,315,1600_900,Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,orientation_search,Thebeast,AMD Radeon HD 7500M/7600M Series,2018_Nov_08_1356,testMonitor,
128.8,134.9,134.0,138.8,36,30,134.0,141.8,135.8,138.5,7.99,8.315,7.572,8.165,8.273,8.149,7.995,5.28,-5.14,-8.164,1.968,-1.915,7.869,5.102,-4.884,-8.127,126.7,126.5,-8.482,134.1,138.9,127.0,132.0,138.0,36,140.8,2,5,probe,5,0,107,norm,36,-4.45,down,norm,134.713182073,141.4,134.1,127.1,,2,144.7,133.5,136.9,10,6,7.532,4.836,1.38,-1.446,-4.66,-7.592,132.3,2,27.7,-7.896,-7.973,20,-7.736,-8.093,-4.926,-4.58,-4.867,-4.506,4.494,8.004,14,-1.238,1.432,4.712,8.219,-8.274,-8.214,-1.998,2.028,124.8,128.5,140.3,132.5,137.7,132.1,143.6,133.8,136.9,131.7,0,norm,1.383,1.69,-1.938,-1.212,-5.208,-4.994,-1.866,-1.333,-1.584,-1.416,1.897,-1.294,124.7,133.3,-5.033,-8.332,1.149,-1.133,7.868,4.87,-5.173,-7.721,1,5.116,5.187,5.263,5.114,1.424,1.171,1.719,1.329,1,4.744,4.796,20,8.43650593756,norm,0,6,6,6,728.559,728.572,728.591251724,728.592,728.594,728.596,down,1,2.01267821461,7.98732178539,001,315,1600_900,Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,orientation_search,Thebeast,AMD Radeon HD 7500M/7600M Series,2018_Nov_08_1356,testMonitor,
145.5,143.0,142.4,137.0,36,30,145.8,151.0,144.1,,8.37,7.988,8.136,8.45,7.933,7.566,7.86,5.073,-4.761,-7.768,1.913,-1.257,7.536,4.643,-4.772,-8.339,141.1,140.6,-7.549,147.2,146.0,142.3,154.7,152.0,36,144.4,4,5,probe,5,0,117,norm,36,-4.604,up,norm,144.713182073,139.2,143.6,143.2,151.2,5,145.3,148.9,144.7,10,6,8.358,5.214,1.946,-1.847,-5.18,-8.298,147.7,2,27.7,-7.877,-8.323,20,-7.808,-7.558,-4.635,-5.263,-4.484,-5.034,4.761,8.341,29,-1.265,1.551,4.6,8.193,-7.566,-8.278,-1.898,1.723,150.7,139.9,151.7,145.5,141.1,134.7,143.6,138.5,138.4,149.5,1,norm,1.446,2.077,-1.654,-1.396,-5.186,-4.985,-1.527,-1.184,-2.076,-1.245,1.763,-1.145,143.6,142.6,-5.029,-8.088,1.966,-1.23,7.952,5.232,-5.222,-8.373,1,5.206,4.699,4.934,5.079,1.94,1.69,1.313,2.032,1,5.238,4.333,20,8.43650593756,norm,0,7,7,7,730.625,730.635,730.640933525,730.641,730.643,730.646,up,1,1.31231758143,8.68768241857,001,315,1600_900,Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,orientation_search,Thebeast,AMD Radeon HD 7500M/7600M Series,2018_Nov_08_1356,testMonitor,
289.3,294.4,292.0,288.4,36,10,300.4,292.9,297.5,315.7,7.537,7.629,8.344,8.112,8.49,7.644,7.656,4.462,-4.63,-8.261,1.904,-1.495,7.583,4.9,-4.397,-8.312,280.1,300.5,-8.324,300.0,291.4,294.5,304.8,293.1,36,275.7,1,5,prime,10,0,104,norm,36,-4.304,up,norm,295.748062949,291.6,306.6,289.7,298.1,4,287.4,288.2,295.9,10,5,7.896,4.677,1.321,-2.029,-4.458,-8.288,,5,399.7,-8.287,-8.113,10,-8.062,-8.383,-5.212,-4.712,-4.887,-4.854,4.888,8.145,10,-1.539,1.846,5.029,7.954,-7.903,-8.177,-1.359,1.357,291.2,307.7,292.4,304.9,299.6,305.2,291.2,286.4,297.3,284.9,0,norm,1.152,2.06,-1.186,-1.647,-4.917,-4.896,-1.548,-2.095,-1.984,-2.067,1.46,-2.093,294.4,298.0,-4.777,-7.801,1.838,-1.145,8.109,4.65,-4.643,-7.709,2,4.967,4.663,4.865,4.651,1.753,1.439,1.368,1.84,2,4.574,4.581,30,8.43650593756,norm,0,8,8,8,731.975,731.984,731.990743774,731.991,731.995,732.0,up,1,1.04233492623,8.95766507377,001,315,1600_900,Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,orientation_search,Thebeast,AMD Radeon HD 7500M/7600M Series,2018_Nov_08_1356,testMonitor,
292.1,280.4,277.6,293.5,36,10,,287.8,293.0,300.9,8.078,8.116,8.081,8.425,7.573,7.737,8.123,4.658,-4.554,-8.055,1.711,-1.605,8.277,4.636,-4.655,-7.727,311.5,293.7,-7.518,303.4,312.6,286.7,293.7,289.8,36,296.3,4,5,prime,10,0,66,norm,36,-4.732,down,norm,295.748062949,308.5,296.4,289.4,291.4,0,277.2,290.2,310.5,10,5,8.069,4.625,2.004,-1.47,-5.05,-8.021,297.9,5,361.7,-8.366,-7.638,10,-7.767,-7.966,-5.094,-4.899,-4.755,-4.48,4.419,7.971,24,-1.37,1.511,4.875,8.406,-7.815,-7.942,-1.643,1.766,275.7,315.7,278.9,307.8,302.7,295.4,308.8,299.8,291.0,280.2,1,norm,2.014,1.613,-1.669,-1.152,-5.271,-5.059,-1.486,-1.916,-1.998,-1.87,1.787,-1.751,289.5,282.3,-4.697,-7.765,1.963,-1.922,7.726,5.083,-4.64,-7.647,2,5.072,4.777,5.299,4.759,2.022,2.097,1.21,1.459,2,4.787,4.637,30,8.43650593756,norm,0,9,9,9,733.058,733.068,733.073965726,733.074,733.077,733.08,down,1,0.945688309665,9.05431169034,001,315,1600_900,Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,orientation_search,Thebeast,AMD Radeon HD 7500M/7600M Series,2018_Nov_08_1356,testMonitor,
