d_ori_22,d_ori_23,d_ori_20,d_ori_21,set_size,ctpd,d_ori_24,d_ori_25,d_ori_28,d_ori_29,stim_pos_x_30,stim_pos_x_31,stim_pos_x_32,stim_pos_x_33,stim_pos_x_34,stim_pos_x_35,stim_pos_y_11,stim_pos_y_10,stim_pos_y_13,stim_pos_y_12,stim_pos_y_15,stim_pos_y_14,stim_pos_y_17,stim_pos_y_16,stim_pos_y_19,stim_pos_y_18,d_ori_35,d_ori_34,stim_pos_x_3,d_ori_31,d_ori_30,d_ori_33,d_ori_32,d_ori_26,test_set_size,d_ori_27,targetCol,dsd_test,seq_type,dsd,blockRepN,targetDist,dtype_test,prime_set_size,stim_pos_y_25,correctResponse,dtype,distrMean,d_ori_17,d_ori_16,stim_pos_y_3,d_ori_14,targetRow,d_ori_11,d_ori_13,d_ori_12,dsd_prime,streak_length_prime,stim_pos_y_35,stim_pos_y_34,stim_pos_y_33,stim_pos_y_32,stim_pos_y_31,stim_pos_y_30,d_ori_10,nextProbe,targetOri,stim_pos_x_1,stim_pos_x_2,ctpd_prime,stim_pos_x_4,stim_pos_x_5,stim_pos_x_6,stim_pos_x_7,stim_pos_x_8,stim_pos_x_9,stim_pos_y_28,stim_pos_y_29,targetPos,stim_pos_y_20,stim_pos_y_21,stim_pos_y_22,stim_pos_y_23,stim_pos_y_24,stim_pos_x_0,stim_pos_y_26,stim_pos_y_27,d_ori_9,d_ori_8,d_ori_3,d_ori_2,d_ori_1,d_ori_0,d_ori_7,d_ori_6,d_ori_5,d_ori_4,trialN,dtype_prime,stim_pos_x_18,stim_pos_x_19,stim_pos_x_12,stim_pos_x_13,stim_pos_x_10,stim_pos_x_11,stim_pos_x_16,stim_pos_x_17,stim_pos_x_14,stim_pos_x_15,stim_pos_y_9,stim_pos_y_8,d_ori_19,d_ori_18,stim_pos_y_1,stim_pos_y_0,d_ori_15,stim_pos_y_2,stim_pos_y_5,stim_pos_y_4,stim_pos_y_7,stim_pos_y_6,totBlockN,stim_pos_x_27,stim_pos_x_26,stim_pos_x_25,stim_pos_x_24,stim_pos_x_23,stim_pos_x_22,stim_pos_x_21,stim_pos_x_20,blockN,stim_pos_x_29,stim_pos_x_28,prevDistrCTPD,prevDistrMean,prevDistrType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,timeStart,timeBeforeDraw,timeDraw,timeAfterSaving,timeAfterWritingToTemp,timeAfterPreparingNext,answer,correct,rt,trialScore,session,participant,resolution,cpu_info,expName,pc_name,graphic_card,date,monitorName,
233.7,233.5,240.1,232.2,36,-30,240.9,231.1,240.0,257.3,8.41,7.54,8.29,7.68,7.745,7.877,7.807,5.157,-5.013,-7.807,1.687,-1.18,7.72,5.226,-5.191,-7.824,250.3,233.9,-8.127,261.3,230.9,251.4,241.7,244.4,36,234.7,1,5,prime,10,0,71,norm,36,-5.103,down,norm,241.276638117,251.3,249.5,1.965,235.9,0,245.8,241.5,226.4,10,6,8.28,5.208,1.433,-1.778,-4.537,-8.397,237.2,6,312.3,-8.154,-7.644,-30,-8.325,-8.261,-5.102,-5.048,-5.151,-4.654,5.027,8.097,6,-1.781,1.104,5.063,8.177,-7.864,-8.328,-1.272,1.693,225.7,236.5,254.1,238.8,221.3,241.2,224.3,,255.8,250.5,0,norm,1.223,2.072,-1.496,-1.206,-5.291,-5.185,-2.008,-1.268,-1.428,-1.827,1.692,-1.868,233.8,248.7,-4.736,-7.968,226.8,-1.202,8.231,4.733,-4.805,-8.404,0,4.86,4.427,4.649,5.064,1.721,1.2,1.972,1.491,0,4.641,5.121,,,,0,0,0,0,1061.926,1061.937,1061.94231621,1061.943,1061.943,1061.947,down,1,3.29677732058,6.70322267942,001,321,1600_900,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_nov_08_1347,testMonitor,
225.6,250.8,243.0,,36,-30,239.4,247.6,227.2,248.2,8.218,8.282,8.067,8.173,8.105,7.653,8.142,5.156,-5.097,-8.396,1.372,-1.902,8.255,4.792,-4.578,-8.219,248.9,237.4,-8.402,243.8,241.9,242.4,241.0,234.4,36,238.2,3,5,prime,10,0,99,norm,36,-5.07,up,norm,241.276638117,252.4,221.3,1.382,223.2,3,239.1,227.1,236.3,10,6,7.997,4.896,1.959,-1.403,-5.003,-8.355,248.7,6,340.3,-8.382,-7.631,-30,-7.822,-7.717,-4.865,-4.318,-4.601,-4.978,5.031,8.308,21,-1.67,1.588,4.531,8.243,-7.763,-8.039,-1.194,1.439,227.6,259.6,240.6,249.3,234.2,253.9,235.0,255.8,234.8,234.1,1,norm,1.286,1.987,-1.389,-1.992,-4.618,-4.667,-1.71,-1.658,-1.758,-1.621,1.458,-2.042,261.3,261.2,-4.301,-7.767,259.7,-1.39,7.771,4.446,-4.556,-7.801,0,5.12,4.903,4.484,4.791,1.309,1.588,1.598,1.112,0,4.432,4.749,,,,0,1,1,1,1065.253,1065.26,1065.26213221,1065.263,1065.264,1065.268,up,1,2.0371726937,7.9628273063,001,321,1600_900,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_nov_08_1347,testMonitor,
240.0,238.0,231.8,227.6,36,-30,232.5,261.3,247.1,236.2,8.098,8.308,7.829,8.328,7.82,7.517,7.997,5.19,-4.909,-7.638,1.816,-1.777,7.659,4.758,-4.582,-8.264,248.5,234.1,-7.624,255.0,250.4,242.9,241.9,241.5,36,221.3,2,5,prime,10,0,110,norm,36,-5.163,up,norm,241.276638117,230.7,247.2,1.774,242.0,3,243.7,242.5,243.7,10,6,7.917,5.296,1.104,-1.563,-4.81,-7.708,255.8,6,351.3,-8.265,-7.602,-30,-7.57,-7.613,-4.699,-5.199,-4.767,-4.58,4.643,8.185,15,-1.294,1.194,5.103,8.058,-8.204,-8.137,-1.138,1.411,234.0,253.0,244.8,235.1,241.7,234.1,243.1,224.4,233.7,251.7,2,norm,1.123,1.781,-1.483,-1.909,-5.078,-5.208,-1.383,-1.164,-1.531,-1.917,1.281,-1.453,237.6,239.6,-4.516,-8.142,,-1.693,8.189,5.206,-4.729,-8.003,0,4.907,4.437,4.777,5.16,1.173,1.337,1.665,1.592,0,4.97,5.102,,,,0,2,2,2,1067.315,1067.322,1067.323482,1067.324,1067.326,1067.33,up,1,1.09057832284,8.90942167716,001,321,1600_900,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_nov_08_1347,testMonitor,
240.9,241.5,249.3,230.8,36,-30,245.7,223.6,253.2,248.9,7.577,8.484,7.969,8.2,7.867,8.12,8.059,4.584,-5.194,-7.648,1.958,-1.103,7.971,5.071,-4.581,-7.744,224.3,241.0,-8.075,246.0,237.6,230.8,221.3,249.0,36,241.7,2,5,prime,10,0,83,norm,36,-5.047,up,norm,241.276638117,234.4,232.9,1.41,261.3,3,241.9,237.5,224.8,10,6,8.389,4.705,2.058,-1.932,-4.5,-8.007,242.1,6,324.3,-8.054,-8.0,-30,-8.204,-7.84,-5.23,-4.692,-4.915,-4.683,4.427,7.744,15,-1.406,1.191,4.951,8.104,-8.469,-7.974,-1.629,1.269,242.3,240.7,230.1,250.5,227.9,260.5,242.6,245.5,234.1,257.6,3,norm,1.935,1.132,-1.447,-1.167,-4.323,-4.691,-1.205,-1.872,-1.327,-1.949,1.202,-1.664,252.5,243.9,-4.855,-7.559,,-2.045,7.779,4.715,-4.742,-7.644,0,4.513,4.498,5.033,4.422,1.946,1.345,1.592,1.781,0,4.958,5.108,,,,0,3,3,3,1068.429,1068.435,1068.43745436,1068.438,1068.441,1068.445,up,1,1.57625940197,8.42374059803,001,321,1600_900,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_nov_08_1347,testMonitor,
242.5,221.3,233.9,247.1,36,-30,239.0,250.2,261.3,240.2,7.628,8.386,8.42,7.742,8.071,8.046,8.226,4.62,-4.363,-8.122,1.435,-1.484,7.904,4.46,-5.08,-8.014,238.1,243.2,-7.566,261.2,251.2,240.8,240.3,228.7,36,233.4,0,5,prime,10,0,93,norm,36,-5.065,up,norm,241.276638117,254.5,235.9,1.147,237.1,5,246.6,259.7,239.6,10,6,7.6,5.035,1.484,-1.495,-4.758,-7.771,251.6,6,334.3,-8.095,-7.764,-30,-8.115,-8.092,-4.478,-5.114,-4.587,-4.847,4.62,7.952,5,-1.851,1.372,4.54,8.086,-8.348,-7.641,-1.772,1.225,230.3,250.0,245.0,247.9,233.6,238.0,222.9,224.8,,239.7,4,norm,2.04,1.372,-1.778,-1.328,-4.804,-5.21,-1.18,-1.293,-1.226,-1.639,1.41,-1.684,235.5,233.5,-4.42,-8.078,247.7,-1.46,7.932,5.068,-4.386,-7.817,0,4.401,5.138,4.377,5.063,1.274,1.995,1.266,1.676,0,4.522,4.979,,,,0,4,4,4,1070.029,1070.037,1070.03925714,1070.04,1070.042,1070.046,up,1,0.858546432246,9.14145356775,001,321,1600_900,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_nov_08_1347,testMonitor,
228.0,240.5,242.0,261.3,36,-30,242.9,229.1,232.8,225.6,7.766,7.804,8.21,7.597,7.868,8.487,7.835,4.9,-4.448,-8.348,1.819,-1.921,7.793,4.883,-4.568,-8.017,256.7,,-8.225,241.7,243.4,229.4,241.3,230.2,36,224.4,5,5,prime,10,0,80,norm,36,-4.433,up,norm,241.276638117,252.9,238.8,1.96,234.7,4,224.0,256.6,251.3,10,6,7.517,4.386,1.692,-1.288,-5.113,-7.853,221.3,6,321.3,-7.786,-8.086,-30,-7.581,-7.645,-4.915,-5.208,-4.37,-4.484,4.739,8.217,34,-1.39,1.398,4.319,7.896,-7.9,-8.053,-1.361,1.814,236.1,229.8,242.5,228.7,228.6,249.2,243.9,240.5,255.2,241.5,5,norm,1.639,1.433,-1.567,-1.664,-5.076,-4.647,-2.012,-1.693,-1.647,-1.135,1.164,-1.938,239.3,232.4,-4.852,-8.17,254.0,-1.203,7.974,5.296,-5.077,-7.588,0,4.507,4.79,4.53,4.577,1.529,1.479,1.219,1.125,0,4.39,5.297,,,,0,5,5,5,1070.912,1070.918,1070.91970571,1070.92,1070.923,1070.926,up,1,0.97095357989,9.02904642011,001,321,1600_900,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_nov_08_1347,testMonitor,
,334.0,322.5,333.4,36,-40,325.4,329.9,336.5,331.6,7.692,7.916,7.948,8.085,7.896,7.54,8.148,4.622,-4.534,-8.303,1.338,-1.418,7.814,4.649,-4.987,-7.697,338.5,321.6,-7.913,339.8,324.4,335.0,326.8,334.5,36,338.8,3,5,probe,5,0,114,norm,36,-4.823,up,norm,329.819119244,328.7,331.2,1.16,324.8,4,329.3,338.7,324.6,10,6,8.265,4.971,1.697,-1.894,-4.323,-8.411,326.2,1,215.8,-7.772,-8.294,-30,-7.834,-8.34,-4.774,-4.514,-4.486,-5.083,4.417,8.433,22,-1.238,1.666,4.976,8.45,-7.744,-7.511,-1.268,1.242,332.9,321.7,329.6,329.4,333.9,324.9,338.3,329.4,325.1,332.5,0,norm,1.923,1.259,-1.241,-1.465,-4.331,-4.792,-1.74,-1.719,-1.696,-2.051,1.294,-1.838,319.8,333.2,-4.751,-8.044,330.2,-1.937,8.035,5.139,-5.051,-7.997,1,4.441,4.725,4.628,5.063,1.934,2.066,1.645,1.192,1,5.202,4.587,-30,241.276638117,norm,0,6,6,6,1071.905,1071.911,1071.91309188,1071.914,1071.916,1071.92,down,0,7.61082046273,-10,001,321,1600_900,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_nov_08_1347,testMonitor,
132.8,117.9,,146.1,36,-60,125.4,125.3,139.6,131.3,8.0,7.58,8.095,7.703,8.083,7.575,7.6,4.519,-4.854,-8.213,2.091,-1.547,7.641,4.831,-4.507,-7.73,118.5,126.5,-8.157,122.3,130.5,141.0,141.0,130.5,36,137.4,3,5,prime,10,0,115,norm,36,-4.908,down,norm,126.08607957,141.2,114.2,1.508,120.4,2,134.8,139.6,128.2,10,6,8.152,5.278,1.105,-1.377,-4.443,-8.029,122.2,6,241.1,-7.593,-7.97,-60,-8.176,-8.171,-4.314,-4.449,-5.29,-4.898,4.473,7.969,20,-1.569,1.961,4.716,8.134,-8.212,-7.593,-1.132,1.98,133.9,113.0,137.0,124.9,123.1,125.5,117.4,106.1,129.0,143.2,0,norm,2.082,1.768,-1.301,-2.055,-4.796,-4.346,-1.591,-1.345,-1.291,-1.988,1.327,-1.483,116.1,122.3,-5.253,-7.578,124.1,-1.744,7.721,4.995,-5.029,-8.227,2,4.729,4.332,4.449,4.325,1.465,1.728,2.057,1.413,2,4.664,4.791,-40,241.276638117,norm,0,7,7,7,1080.546,1080.553,1080.55487838,1080.555,1080.558,1080.562,up,0,0.519661725128,-10,001,321,1600_900,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_nov_08_1347,testMonitor,
119.9,142.9,135.6,144.6,36,-60,134.0,146.1,140.6,117.8,8.218,8.254,7.563,8.076,8.063,7.733,8.471,5.294,-4.519,-7.948,1.911,-2.004,8.446,5.045,-4.442,-7.573,129.4,122.5,-8.303,138.4,121.0,116.8,121.7,129.3,36,126.3,1,5,prime,10,0,118,norm,36,-5.247,up,norm,126.08607957,133.7,130.6,1.394,124.9,4,129.4,139.4,117.3,10,6,8.406,4.579,2.056,-2.001,-4.389,-7.875,,6,244.1,-8.008,-7.796,-60,-8.32,-7.512,-4.724,-5.144,-4.805,-4.866,4.665,7.683,10,-1.406,1.371,4.372,7.677,-8.237,-8.078,-1.123,1.54,109.9,125.0,145.7,126.0,124.5,113.2,125.7,129.8,143.2,122.0,1,norm,2.026,1.113,-2.08,-1.794,-5.2,-4.4,-1.878,-2.031,-1.982,-1.965,1.902,-1.726,106.1,128.7,-5.251,-7.764,119.5,-2.034,8.398,5.046,-5.049,-8.385,2,5.087,4.902,4.872,5.055,1.883,1.831,1.334,2.088,2,4.95,4.539,-40,241.276638117,norm,0,8,8,8,1082.09,1082.095,1082.09733738,1082.098,1082.101,1082.104,up,1,10.5411977743,-0.541197774342,001,321,1600_900,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_nov_08_1347,testMonitor,
138.0,131.8,123.6,127.6,36,-60,146.1,142.4,143.6,117.8,8.415,8.015,8.483,7.609,8.489,7.653,8.143,4.664,-4.837,-7.692,1.119,-1.132,7.559,4.992,-4.813,-7.788,126.8,109.0,-8.374,128.5,115.4,114.5,133.6,124.6,36,125.1,1,5,prime,10,0,77,norm,36,-5.187,up,norm,126.08607957,118.3,143.6,1.902,127.4,3,141.7,106.1,112.4,10,6,8.442,4.804,1.367,-1.145,-4.481,-8.348,143.4,6,203.1,-8.378,-7.708,-60,-8.12,-8.477,-4.375,-4.727,-4.874,-4.544,5.213,8.466,9,-1.567,1.362,4.477,8.139,-7.609,-7.768,-1.469,1.772,,137.5,139.8,129.0,118.6,117.0,118.8,131.1,110.1,137.0,2,norm,1.879,1.572,-1.103,-1.67,-4.769,-5.115,-1.527,-2.094,-1.215,-2.069,1.835,-1.728,136.3,137.0,-5.291,-7.596,133.6,-1.244,8.301,4.357,-4.513,-8.434,2,4.447,4.898,4.682,4.609,2.096,1.869,2.012,1.846,2,4.352,5.041,-40,241.276638117,norm,0,9,9,9,1092.654,1092.659,1092.66104665,1092.662,1092.665,1092.668,up,1,6.41944468829,3.58055531171,001,321,1600_900,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_nov_08_1347,testMonitor,
