d_ori_22,d_ori_23,d_ori_20,d_ori_21,set_size,ctpd,d_ori_24,d_ori_25,d_ori_28,d_ori_29,stim_pos_x_30,stim_pos_x_31,stim_pos_x_32,stim_pos_x_33,stim_pos_x_34,stim_pos_x_35,stim_pos_y_11,stim_pos_y_10,stim_pos_y_13,stim_pos_y_12,stim_pos_y_15,stim_pos_y_14,stim_pos_y_17,stim_pos_y_16,stim_pos_y_19,stim_pos_y_18,d_ori_35,d_ori_34,stim_pos_x_3,d_ori_31,d_ori_30,d_ori_33,d_ori_32,d_ori_26,test_set_size,d_ori_27,targetCol,dsd_test,seq_type,dsd,blockRepN,targetDist,dtype_test,prime_set_size,stim_pos_y_25,correctResponse,dtype,distrMean,d_ori_17,d_ori_16,d_ori_15,d_ori_14,targetRow,d_ori_11,d_ori_13,d_ori_12,dsd_prime,streak_length_prime,stim_pos_y_35,stim_pos_y_34,stim_pos_y_33,stim_pos_y_32,stim_pos_y_31,stim_pos_y_30,d_ori_10,nextProbe,targetOri,stim_pos_x_1,stim_pos_x_2,ctpd_prime,stim_pos_x_4,stim_pos_x_5,stim_pos_x_6,stim_pos_x_7,stim_pos_x_8,stim_pos_x_9,stim_pos_y_28,stim_pos_y_29,targetPos,stim_pos_y_20,stim_pos_y_21,stim_pos_y_22,stim_pos_y_23,stim_pos_y_24,stim_pos_x_0,stim_pos_y_26,stim_pos_y_27,d_ori_9,d_ori_8,d_ori_3,d_ori_2,d_ori_1,d_ori_0,d_ori_7,d_ori_6,d_ori_5,d_ori_4,trialN,dtype_prime,stim_pos_x_18,stim_pos_x_19,stim_pos_x_12,stim_pos_x_13,stim_pos_x_10,stim_pos_x_11,stim_pos_x_16,stim_pos_x_17,stim_pos_x_14,stim_pos_x_15,stim_pos_y_9,stim_pos_y_8,d_ori_19,d_ori_18,stim_pos_y_1,stim_pos_y_0,stim_pos_y_3,stim_pos_y_2,stim_pos_y_5,stim_pos_y_4,stim_pos_y_7,stim_pos_y_6,totBlockN,stim_pos_x_27,stim_pos_x_26,stim_pos_x_25,stim_pos_x_24,stim_pos_x_23,stim_pos_x_22,stim_pos_x_21,stim_pos_x_20,blockN,stim_pos_x_29,stim_pos_x_28,prevDistrCTPD,prevDistrMean,prevDistrType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,timeStart,timeBeforeDraw,timeDraw,timeAfterSaving,timeAfterWritingToTemp,timeAfterPreparingNext,answer,correct,rt,trialScore,session,participant,resolution,cpu_info,expName,pc_name,graphic_card,date,monitorName,
7.4,9.1,-14.2,8.1,36,-40,15.0,3.7,-8.6,-4.8,7.918,8.278,8.123,7.752,7.751,7.796,8.003,4.341,-4.301,-7.619,1.5,-1.704,8.49,5.077,-5.006,-7.898,6.2,16.2,-7.766,13.6,5.4,4.0,10.7,14.4,36,-0.8,0,5,prime,10,0,85,norm,36,-4.415,down,norm,1.86100579842,-4.2,-0.7,-4.1,-13.7,2,12.3,5.6,7.5,10,6,8.143,4.387,2.084,-1.785,-5.089,-8.35,18.0,6,86.9,-7.892,-8.298,-40,-7.634,-8.263,-4.692,-4.912,-5.178,-4.391,4.457,7.734,2,-1.538,1.705,4.724,8.158,-8.236,-8.19,-1.136,1.339,18.2,21.9,-9.4,,10.8,-18.1,12.7,7.4,18.8,-11.8,0,norm,1.163,1.621,-2.077,-2.09,-5.106,-4.976,-1.303,-1.979,-1.917,-1.656,1.993,-1.964,-2.7,4.7,-4.502,-7.682,1.254,-1.379,7.706,5.203,-4.933,-7.701,0,4.568,5.008,5.108,4.33,1.952,1.708,1.592,1.43,0,4.41,4.59,,,,0,0,0,0,1183.696,1183.749,1183.79099285,1183.792,1183.792,1183.799,up,0,1.28969965194,-10,001,322,1366_768,Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz,orientation_search,GHUM-L-P53541,Intel(R) HD Graphics 4000,2018_Nov_08_1354,testMonitor,
-4.9,-0.1,-17.7,1.9,36,-40,-0.9,18.2,,-0.7,8.259,7.562,8.335,8.13,7.517,7.993,7.854,4.71,-4.322,-8.323,1.37,-1.796,7.583,5.234,-5.129,-8.414,7.9,-2.9,-7.78,6.8,0.2,9.0,19.2,21.9,36,7.2,4,5,prime,10,0,66,norm,36,-4.585,up,norm,1.86100579842,-18.1,-11.3,-7.9,12.6,4,-16.3,3.3,0.3,10,6,8.309,5.067,1.166,-1.368,-5.299,-7.512,2.0,6,67.9,-7.701,-8.215,-40,-8.364,-7.913,-4.874,-5.103,-4.665,-5.141,5.162,7.998,28,-1.441,1.221,4.632,7.899,-7.528,-7.762,-1.925,1.216,-2.9,6.0,-17.6,-4.2,-11.9,10.6,-8.1,-3.9,-2.1,-2.3,1,norm,1.826,1.978,-1.576,-1.897,-4.696,-4.698,-1.25,-1.318,-1.117,-1.212,1.133,-1.207,-4.5,-7.4,-4.426,-7.538,1.333,-1.362,8.396,4.958,-4.535,-8.036,0,5.246,4.93,5.1,4.725,1.718,1.233,2.084,1.85,0,4.536,5.009,,,,0,1,1,1,1186.188,1186.201,1186.23379768,1186.234,1186.606,1186.62,down,0,3.29118721519,-10,001,322,1366_768,Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz,orientation_search,GHUM-L-P53541,Intel(R) HD Graphics 4000,2018_Nov_08_1354,testMonitor,
4.5,5.8,8.2,-1.6,36,-40,3.7,11.6,-3.4,17.6,8.101,8.048,8.119,7.932,8.378,8.478,8.271,4.398,-4.332,-7.878,1.992,-1.28,8.179,4.839,-4.433,-8.121,2.4,0.6,-8.08,11.1,0.2,1.4,4.1,-13.0,36,-7.5,0,5,prime,10,0,115,norm,36,-4.308,down,norm,1.86100579842,-18.1,-5.0,-3.1,-14.9,2,10.0,-10.2,8.5,10,6,8.01,5.108,1.41,-1.525,-4.623,-7.83,-0.8,6,116.9,-7.727,-7.973,-40,-8.01,-8.278,-4.874,-4.413,-4.487,-5.022,4.834,7.899,2,-1.666,1.691,4.303,7.74,-8.444,-8.133,-1.529,1.306,3.0,15.2,6.6,,-12.7,2.2,21.9,-5.0,-5.2,6.8,2,norm,2.06,1.277,-1.975,-1.801,-4.836,-5.211,-2.008,-1.9,-1.446,-1.399,1.276,-1.397,8.8,8.7,-5.065,-7.978,1.541,-1.371,7.878,5.249,-4.479,-7.763,0,4.369,4.796,4.373,4.309,1.458,1.441,1.413,1.983,0,4.796,4.727,,,,0,2,2,2,1191.013,1191.031,1191.05918817,1191.06,1191.063,1191.067,down,1,4.32661464304,5.67338535696,001,322,1366_768,Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz,orientation_search,GHUM-L-P53541,Intel(R) HD Graphics 4000,2018_Nov_08_1354,testMonitor,
,6.6,2.0,8.7,36,-40,-0.7,-4.3,-10.9,2.0,7.859,8.48,7.545,7.849,7.687,7.709,8.164,5.225,-5.027,-7.954,1.156,-1.835,7.897,4.335,-5.218,-7.573,-4.3,8.8,-7.807,6.3,5.0,5.7,-0.5,-4.1,36,14.8,3,5,prime,10,0,96,norm,36,-4.49,up,norm,1.86100579842,1.8,1.6,-10.7,2.8,4,21.9,0.9,-3.7,10,6,8.409,5.251,1.447,-1.511,-5.22,-7.606,-5.4,6,97.9,-8.452,-8.062,-40,-8.206,-7.934,-4.358,-5.248,-4.692,-5.194,4.606,7.506,22,-1.592,2.055,4.637,8.469,-8.18,-8.067,-1.79,1.789,4.7,0.9,4.9,5.9,21.0,-7.2,0.3,4.0,20.8,5.2,3,norm,1.409,1.173,-1.587,-1.985,-4.302,-5.074,-1.149,-1.856,-1.709,-1.905,1.399,-1.524,0.9,-7.9,-4.635,-8.354,1.809,-1.344,8.205,4.893,-4.983,-8.272,0,4.337,5.087,4.442,4.395,1.767,1.941,1.665,1.815,0,4.461,4.441,,,,0,3,3,3,1195.456,1195.481,1195.48703108,1195.487,1195.49,1195.494,up,1,5.02567238268,4.97432761732,001,322,1366_768,Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz,orientation_search,GHUM-L-P53541,Intel(R) HD Graphics 4000,2018_Nov_08_1354,testMonitor,
0.8,17.3,7.4,19.3,36,-40,4.5,,-8.7,-5.9,7.55,7.656,8.386,7.791,8.156,7.708,7.788,5.238,-5.172,-7.925,1.651,-1.661,7.573,4.5,-4.306,-8.026,-7.1,-3.9,-8.339,10.2,4.3,1.9,6.4,-18.1,36,14.1,4,5,prime,10,0,110,norm,36,-5.151,down,norm,1.86100579842,-9.7,-15.9,7.6,-17.8,1,21.9,12.7,4.2,10,6,8.332,4.531,1.8,-1.113,-4.33,-8.338,4.5,6,111.9,-8.175,-8.411,-40,-7.682,-7.644,-4.812,-4.813,-4.719,-5.023,4.61,8.08,25,-1.933,1.335,4.947,7.954,-7.919,-7.866,-1.128,1.354,-12.7,19.5,11.6,9.3,-0.8,11.5,8.6,4.5,-5.3,-1.2,4,norm,1.389,1.389,-1.891,-1.228,-4.666,-4.599,-1.407,-1.947,-1.27,-1.743,2.016,-1.169,-11.3,-1.0,-4.889,-7.92,1.615,-1.956,8.357,4.507,-4.865,-7.606,0,4.524,5.18,4.901,4.987,1.837,1.387,1.535,2.031,0,4.78,4.668,,,,0,4,4,4,1200.551,1200.582,1200.61055389,1200.611,1203.944,1203.958,down,1,4.27355630347,5.72644369653,001,322,1366_768,Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz,orientation_search,GHUM-L-P53541,Intel(R) HD Graphics 4000,2018_Nov_08_1354,testMonitor,
-3.4,6.3,-4.9,,36,-40,12.3,13.4,19.5,-3.0,7.543,7.581,7.576,7.889,7.876,8.443,8.11,4.388,-4.469,-7.535,1.742,-1.41,7.682,5.122,-4.928,-7.622,-14.4,-2.7,-8.224,6.2,5.1,12.0,9.7,-4.2,36,9.4,3,5,prime,10,0,84,norm,36,-5.007,up,norm,1.86100579842,-2.0,1.0,8.1,6.8,3,7.0,8.9,10.5,10,6,7.825,5.036,1.923,-1.551,-5.25,-8.418,6.4,6,85.9,-8.405,-8.265,-40,-8.207,-8.19,-5.021,-4.697,-5.205,-4.789,4.799,8.315,21,-1.718,1.108,4.457,8.244,-7.867,-7.546,-1.567,1.805,12.0,-4.3,-3.9,5.6,-9.5,5.2,-18.1,-7.2,-3.0,21.9,5,norm,1.523,1.853,-1.931,-1.187,-4.429,-4.758,-1.899,-1.116,-1.172,-1.127,1.764,-1.944,15.7,18.5,-4.97,-8.015,1.348,-1.996,8.122,5.135,-4.415,-8.269,0,4.443,5.267,4.383,4.528,2.093,1.259,1.959,1.423,0,4.551,4.701,,,,0,5,5,5,1208.25,1208.263,1208.29396263,1208.295,1208.303,1208.312,up,1,1.28792772579,8.71207227421,001,322,1366_768,Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz,orientation_search,GHUM-L-P53541,Intel(R) HD Graphics 4000,2018_Nov_08_1354,testMonitor,
57.1,50.3,61.9,49.6,36,0,64.8,53.3,52.3,50.2,8.054,7.877,7.92,7.788,8.297,8.131,8.371,4.375,-5.209,-8.243,2.01,-1.294,7.805,4.537,-4.381,-8.027,46.3,57.6,-8.461,52.5,62.5,45.7,47.9,55.7,36,55.1,0,5,probe,5,0,95,norm,36,-4.786,up,norm,55.742819128,65.7,49.0,50.0,59.1,5,59.1,55.7,53.7,10,6,8.448,5.103,1.395,-2.056,-4.334,-7.756,53.5,1,-39.3,-7.727,-8.195,-40,-8.135,-7.612,-4.966,-4.722,-4.855,-5.066,4.722,8.339,5,-1.935,1.734,4.752,7.568,-8.273,-7.672,-1.882,1.994,48.9,53.8,54.5,55.2,58.2,58.9,57.4,53.6,,60.1,0,norm,1.123,1.706,-1.877,-1.901,-5.118,-4.666,-1.262,-1.945,-2.042,-1.633,1.738,-1.82,55.1,51.8,-5.012,-7.573,1.692,-1.445,7.582,4.438,-5.206,-8.264,1,4.51,4.586,4.357,4.349,1.614,2.073,1.875,1.982,1,4.741,4.344,-40,1.86100579842,norm,0,6,6,6,1209.67,1209.689,1209.71538477,1209.716,1209.718,1209.722,up,1,1.29714650856,8.70285349144,001,322,1366_768,Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz,orientation_search,GHUM-L-P53541,Intel(R) HD Graphics 4000,2018_Nov_08_1354,testMonitor,
188.5,203.1,198.0,197.3,36,40,196.9,198.1,201.9,193.3,7.815,7.52,8.197,8.01,8.182,7.926,8.431,4.541,-5.18,-8.421,2.076,-1.666,7.827,5.27,-4.731,-8.0,193.4,218.5,-7.55,182.4,195.1,203.3,212.9,193.5,36,215.5,1,5,prime,10,0,72,norm,36,-5.052,up,norm,202.360288821,191.7,186.2,197.6,222.4,4,184.9,217.0,203.5,10,6,7.882,5.125,1.725,-1.72,-4.504,-7.606,,6,274.4,-8.423,-8.395,40,-7.669,-8.427,-4.875,-5.183,-5.221,-4.886,4.508,8.145,10,-1.187,1.505,5.177,8.3,-8.217,-7.956,-1.952,1.773,209.4,205.7,190.8,190.9,195.3,220.3,205.0,184.3,191.0,191.3,0,norm,1.28,1.271,-2.096,-2.061,-4.432,-4.387,-1.374,-1.514,-1.714,-1.114,1.704,-1.511,201.8,194.5,-4.704,-8.379,1.381,-1.281,8.009,4.818,-4.669,-7.807,2,4.392,4.647,5.17,4.561,1.21,1.858,1.441,1.866,2,4.679,4.427,0,1.86100579842,norm,0,7,7,7,1211.082,1211.11,1211.14113071,1211.141,1211.145,1211.15,up,1,1.46337717946,8.53662282054,001,322,1366_768,Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz,orientation_search,GHUM-L-P53541,Intel(R) HD Graphics 4000,2018_Nov_08_1354,testMonitor,
204.6,198.3,191.9,212.9,36,40,200.0,215.6,214.7,215.1,8.351,8.258,8.142,8.096,8.483,7.79,8.386,4.427,-4.924,-8.316,1.866,-1.223,7.944,4.314,-4.969,-8.126,182.4,203.6,-8.387,201.3,210.4,197.9,205.5,195.2,36,209.4,1,5,prime,10,0,63,norm,36,-4.787,up,norm,202.360288821,208.8,211.1,207.3,206.3,3,207.8,222.4,191.7,10,6,8.163,4.739,2.07,-1.11,-5.16,-8.007,198.0,6,265.4,-8.139,-8.058,40,-8.351,-8.463,-4.985,-4.325,-4.803,-4.521,4.544,8.493,9,-2.05,1.837,4.304,7.784,-7.734,-8.191,-1.521,1.242,,190.9,193.3,207.4,201.6,187.1,197.0,202.0,192.0,208.5,1,norm,1.906,1.533,-1.866,-1.678,-4.324,-5.001,-1.484,-1.116,-1.824,-1.868,1.942,-2.018,193.3,208.8,-5.205,-7.859,1.957,-1.168,7.741,5.213,-4.893,-8.31,2,4.373,5.294,4.98,5.12,1.379,1.178,1.353,1.802,2,4.625,5.012,0,1.86100579842,norm,0,8,8,8,1212.645,1212.671,1212.70414751,1212.705,1212.711,1212.719,up,1,4.08255770471,5.91744229529,001,322,1366_768,Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz,orientation_search,GHUM-L-P53541,Intel(R) HD Graphics 4000,2018_Nov_08_1354,testMonitor,
217.9,210.3,205.0,197.3,36,40,214.4,201.9,202.8,211.8,7.942,8.275,8.174,7.641,7.525,8.297,7.855,4.8,-4.708,-7.892,1.55,-1.706,7.733,4.741,-4.444,-7.535,213.7,210.7,-8.192,215.0,184.7,208.6,,222.4,36,210.1,5,5,prime,10,0,69,norm,36,-4.97,down,norm,202.360288821,201.0,211.3,207.9,211.3,2,219.0,209.8,206.1,10,6,7.651,4.344,2.073,-1.38,-4.644,-8.354,217.2,6,271.4,-8.074,-8.345,40,-8.134,-7.988,-5.167,-4.745,-5.132,-4.883,4.489,8.389,32,-1.585,2.093,5.159,8.095,-8.0,-8.206,-1.378,1.932,203.8,182.4,201.8,198.2,200.4,207.6,212.2,203.6,190.7,216.4,2,norm,1.631,1.484,-1.889,-1.636,-4.699,-5.224,-1.825,-1.669,-2.002,-1.64,1.69,-1.783,195.1,190.7,-4.758,-8.092,1.859,-1.204,8.226,4.986,-4.708,-8.186,2,4.668,5.053,5.273,5.273,1.686,1.368,1.744,1.768,2,4.953,5.256,0,1.86100579842,norm,0,9,9,9,1216.864,1216.884,1216.90421079,1216.905,1216.907,1216.911,down,1,1.99656463298,8.00343536702,001,322,1366_768,Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz,orientation_search,GHUM-L-P53541,Intel(R) HD Graphics 4000,2018_Nov_08_1354,testMonitor,
