d_ori_22,d_ori_23,d_ori_20,d_ori_21,set_size,ctpd,d_ori_24,d_ori_25,d_ori_28,d_ori_29,stim_pos_x_30,stim_pos_x_31,stim_pos_x_32,stim_pos_x_33,stim_pos_x_34,stim_pos_x_35,stim_pos_y_11,stim_pos_y_10,stim_pos_y_13,stim_pos_y_12,stim_pos_y_15,stim_pos_y_14,stim_pos_y_17,stim_pos_y_16,stim_pos_y_19,stim_pos_y_18,d_ori_35,d_ori_34,stim_pos_x_3,d_ori_31,d_ori_30,d_ori_33,d_ori_32,d_ori_26,test_set_size,d_ori_27,targetCol,dsd_test,seq_type,dsd,blockRepN,targetDist,dtype_test,prime_set_size,stim_pos_y_25,correctResponse,dtype,distrMean,d_ori_17,d_ori_16,d_ori_15,d_ori_14,targetRow,d_ori_11,d_ori_13,d_ori_12,dsd_prime,streak_length_prime,stim_pos_y_35,stim_pos_y_34,stim_pos_y_33,stim_pos_y_32,stim_pos_y_31,stim_pos_y_30,d_ori_10,nextProbe,targetOri,stim_pos_x_1,stim_pos_x_2,ctpd_prime,stim_pos_x_4,stim_pos_x_5,stim_pos_x_6,stim_pos_x_7,stim_pos_x_8,stim_pos_x_9,stim_pos_y_28,stim_pos_y_29,targetPos,stim_pos_y_20,stim_pos_y_21,stim_pos_y_22,stim_pos_y_23,stim_pos_y_24,stim_pos_x_0,stim_pos_y_26,stim_pos_y_27,d_ori_9,d_ori_8,d_ori_3,d_ori_2,d_ori_1,d_ori_0,d_ori_7,d_ori_6,d_ori_5,d_ori_4,trialN,dtype_prime,stim_pos_x_18,stim_pos_x_19,stim_pos_x_12,stim_pos_x_13,stim_pos_x_10,stim_pos_x_11,stim_pos_x_16,stim_pos_x_17,stim_pos_x_14,stim_pos_x_15,stim_pos_y_9,stim_pos_y_8,d_ori_19,d_ori_18,stim_pos_y_1,stim_pos_y_0,stim_pos_y_3,stim_pos_y_2,stim_pos_y_5,stim_pos_y_4,stim_pos_y_7,stim_pos_y_6,totBlockN,stim_pos_x_27,stim_pos_x_26,stim_pos_x_25,stim_pos_x_24,stim_pos_x_23,stim_pos_x_22,stim_pos_x_21,stim_pos_x_20,blockN,stim_pos_x_29,stim_pos_x_28,prevDistrCTPD,prevDistrMean,prevDistrType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,timeStart,timeBeforeDraw,timeDraw,timeAfterSaving,timeAfterWritingToTemp,timeAfterPreparingNext,answer,correct,rt,trialScore,session,participant,resolution,cpu_info,expName,pc_name,graphic_card,date,monitorName,
355.2,343.3,346.9,368.5,36,60,357.5,348.9,370.6,366.6,7.872,7.672,7.785,8.251,8.084,7.908,7.801,4.433,-4.914,-8.035,1.887,-1.865,7.634,4.596,-4.548,-7.816,355.0,357.8,-7.634,355.7,355.0,362.0,344.7,,36,355.6,4,5,prime,10,0,102,norm,36,-5.125,down,norm,355.506175121,341.9,345.2,352.8,351.2,2,364.4,360.5,364.1,10,6,8.434,5.023,1.202,-1.484,-4.497,-7.911,347.0,6,457.5,-8.117,-8.235,60,-8.483,-7.536,-4.376,-4.891,-5.093,-4.654,4.971,8.12,26,-1.182,1.7,5.107,7.68,-8.409,-7.949,-2.076,1.107,364.8,360.2,350.1,355.7,335.5,353.6,355.9,361.8,367.5,347.8,0,norm,1.983,1.398,-1.15,-1.875,-5.192,-4.672,-1.368,-1.952,-1.659,-1.111,1.215,-1.42,354.8,349.4,-4.482,-8.226,1.712,-1.149,8.409,5.264,-5.088,-7.648,0,4.944,5.065,5.203,4.995,1.143,1.197,2.042,1.409,0,4.902,4.798,,,,0,0,0,0,214.364,214.38,214.400810579,214.401,214.401,214.404,down,1,6.55453571587,3.44546428413,001,011,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Oct_31_1250,testMonitor,
356.3,371.4,336.5,351.1,36,60,348.7,365.4,363.0,,8.071,7.695,8.146,7.813,7.726,7.92,7.997,4.975,-4.46,-7.669,1.306,-1.408,7.599,4.814,-4.524,-8.456,354.8,362.0,-7.722,348.8,351.3,352.3,360.5,360.5,36,335.5,4,5,prime,10,0,90,norm,36,-5.112,up,norm,355.506175121,349.2,363.1,352.5,362.3,5,337.2,363.4,353.6,10,6,8.142,4.508,1.997,-1.496,-5.278,-8.078,369.8,6,445.5,-7.944,-8.203,60,-7.698,-8.492,-5.288,-5.09,-4.733,-5.275,5.143,8.105,29,-1.992,1.202,4.929,8.268,-8.078,-7.538,-1.459,1.217,352.0,355.3,355.5,347.3,351.2,375.5,354.3,349.4,339.9,362.3,1,norm,1.774,1.653,-1.209,-2.032,-4.612,-4.813,-1.449,-1.298,-1.556,-1.519,2.016,-1.848,358.1,367.7,-4.457,-8.332,1.532,-1.567,8.043,4.919,-4.614,-8.484,0,4.509,4.963,4.758,5.16,1.169,1.24,1.973,1.191,0,4.348,5.206,,,,0,1,1,1,220.997,221.01,221.029765414,221.03,221.031,221.035,down,0,2.51424731937,-10,001,011,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Oct_31_1250,testMonitor,
362.9,361.4,357.4,340.5,36,60,349.5,358.8,354.9,354.5,7.707,8.146,7.797,7.971,7.775,7.646,8.311,5.042,-4.74,-7.619,1.387,-1.448,7.594,5.136,-4.549,-7.821,342.9,359.4,-7.711,335.5,359.6,363.2,356.3,347.1,36,337.1,1,5,prime,10,0,117,norm,36,-4.739,down,norm,355.506175121,364.2,353.9,356.3,340.5,0,373.3,372.5,375.5,10,6,7.789,5.123,2.02,-1.617,-5.116,-8.276,347.2,6,472.5,-7.576,-7.983,60,-7.722,-8.015,-4.754,-4.378,-4.903,-5.246,4.798,7.65,6,-1.385,1.371,5.184,8.026,-7.78,-8.483,-1.611,1.881,344.0,358.6,361.7,363.8,348.3,364.5,356.1,,357.0,348.7,2,norm,1.205,1.107,-2.002,-1.763,-5.265,-4.594,-1.847,-1.407,-1.624,-1.93,1.45,-1.48,353.6,355.8,-4.674,-7.776,1.853,-1.652,8.267,5.113,-4.358,-7.653,0,4.438,4.64,4.716,4.701,1.493,2.086,1.123,1.899,0,5.263,4.571,,,,0,2,2,2,224.62,224.629,224.646854047,224.647,224.649,224.651,down,1,6.02034869945,3.97965130055,001,011,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Oct_31_1250,testMonitor,
349.6,346.6,353.4,353.1,36,60,353.0,339.7,344.4,348.6,7.649,7.797,8.316,7.579,7.671,8.052,8.404,4.65,-4.438,-7.966,1.646,-1.89,7.764,5.185,-5.181,-7.808,358.8,343.6,-8.103,359.6,357.8,371.0,360.2,361.6,36,362.5,1,5,prime,10,0,92,norm,36,-4.605,up,norm,355.506175121,348.1,363.7,339.8,365.7,5,,347.6,351.9,10,6,7.607,4.758,1.259,-1.715,-4.547,-7.874,348.7,6,447.5,-8.017,-7.929,60,-7.991,-8.048,-5.166,-4.917,-5.014,-4.331,5.145,8.076,11,-1.624,1.375,4.423,8.4,-7.917,-8.251,-1.371,1.498,335.5,354.3,359.3,359.3,353.1,356.4,364.7,352.6,375.5,354.9,3,norm,1.427,1.837,-1.963,-1.705,-4.614,-4.462,-2.038,-1.198,-1.175,-1.98,1.436,-1.691,343.9,358.4,-4.454,-8.265,1.902,-1.656,7.954,4.309,-4.351,-7.949,0,5.222,4.869,4.356,4.376,1.842,2.021,1.393,1.8,0,4.439,4.749,,,,0,3,3,3,230.704,230.713,230.730495189,230.731,230.732,230.735,up,1,4.57263173273,5.42736826727,001,011,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Oct_31_1250,testMonitor,
360.2,353.6,347.1,362.7,36,60,354.4,351.7,366.1,348.9,7.562,7.718,8.207,8.103,8.466,8.445,8.305,5.106,-4.659,-7.963,1.538,-1.345,8.306,5.297,-5.112,-7.701,339.0,358.3,-8.267,350.9,351.7,354.5,355.0,363.3,36,340.1,3,5,prime,10,0,77,norm,36,-4.413,down,norm,355.506175121,351.7,342.9,350.1,362.8,1,349.3,350.3,348.4,10,6,8.174,5.196,1.122,-1.732,-5.202,-7.774,359.5,6,432.5,-8.142,-8.122,60,-7.742,-8.207,-4.791,-5.0,-5.134,-4.491,4.503,8.082,19,-1.405,1.644,4.905,8.205,-7.796,-8.04,-2.1,1.319,355.7,346.2,349.9,363.8,375.5,338.2,370.0,365.4,335.5,363.8,4,norm,1.266,2.029,-1.653,-2.069,-4.926,-4.423,-1.66,-1.119,-1.185,-1.783,1.947,-1.675,,371.4,-4.355,-7.624,1.643,-1.418,8.293,4.601,-5.088,-8.134,0,4.357,4.971,4.317,5.215,1.307,1.652,1.995,1.322,0,4.979,4.781,,,,0,4,4,4,235.339,235.352,235.370801273,235.371,235.373,235.375,down,1,2.99409617865,7.00590382135,001,011,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Oct_31_1250,testMonitor,
337.5,360.3,353.5,352.5,36,60,365.9,354.8,335.5,342.6,8.42,7.544,7.857,8.107,7.53,7.695,7.931,5.264,-4.779,-8.153,1.563,-1.287,8.419,4.909,-4.857,-8.217,362.6,345.4,-7.843,358.7,347.6,358.2,361.6,367.1,36,368.8,0,5,prime,10,0,117,norm,36,-5.034,up,norm,355.506175121,362.8,342.6,360.5,357.9,4,352.4,363.8,354.3,10,6,7.845,4.925,1.732,-2.075,-4.993,-8.185,364.2,6,472.5,-7.897,-7.949,60,-8.2,-8.23,-4.978,-4.971,-4.876,-5.173,4.595,8.207,4,-1.693,1.888,4.342,7.912,-7.695,-8.081,-1.109,1.611,356.7,364.3,357.9,362.2,348.9,361.4,356.3,358.1,364.6,,5,norm,1.81,1.166,-1.324,-1.956,-4.853,-4.714,-1.695,-1.435,-1.848,-1.671,1.491,-1.874,364.4,375.5,-4.451,-7.704,1.94,-1.398,7.692,5.216,-4.907,-7.773,0,4.489,4.419,4.682,4.49,1.165,1.935,1.94,1.447,0,4.405,4.596,,,,0,5,5,5,238.385,238.397,238.401108502,238.401,238.403,238.406,up,1,3.16274160194,6.83725839806,001,011,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Oct_31_1250,testMonitor,
522.8,516.8,525.4,521.0,36,10,508.6,520.1,524.1,519.5,8.374,7.894,8.435,7.782,7.646,7.582,7.611,4.518,-4.81,-7.734,1.525,-1.101,7.801,4.476,-5.142,-7.615,514.2,527.7,-8.314,520.7,517.8,521.6,527.2,512.7,36,510.6,3,5,probe,5,0,99,norm,36,-5.013,down,norm,518.562893708,520.8,517.7,516.0,516.8,1,515.5,515.9,513.2,10,6,8.494,4.486,2.044,-1.498,-5.137,-8.417,519.2,2,419.6,-7.782,-8.443,60,-8.448,-8.481,-4.754,-4.57,-5.1,-5.143,4.547,7.864,19,-1.447,1.88,4.745,8.464,-8.114,-8.298,-2.074,1.566,528.6,526.3,521.0,516.9,508.7,524.1,523.3,515.3,513.9,516.8,0,norm,2.066,1.625,-1.555,-1.255,-4.592,-5.07,-1.972,-1.329,-1.455,-1.889,1.933,-2.098,,521.0,-4.402,-8.368,1.719,-2.03,7.551,5.222,-5.015,-8.031,1,5.229,4.513,4.623,4.925,1.82,1.438,1.177,1.321,1,4.732,5.239,60,355.506175121,norm,0,6,6,6,241.588,241.598,241.606022025,241.606,241.608,241.61,down,1,1.53391837278,8.46608162722,001,011,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Oct_31_1250,testMonitor,
488.6,494.5,508.6,503.4,36,10,490.8,499.3,497.7,502.9,7.54,7.678,7.539,7.729,7.974,7.771,8.331,4.869,-5.261,-8.214,1.945,-1.679,7.665,4.392,-4.592,-7.746,499.6,,-8.114,496.8,503.3,504.3,499.9,497.6,36,501.7,5,5,probe,5,0,79,norm,36,-4.357,up,norm,498.562893708,498.5,495.5,495.4,502.0,4,499.7,503.9,504.3,10,6,7.852,5.262,1.293,-1.133,-4.319,-7.968,495.1,2,419.6,-7.612,-7.509,60,-7.864,-8.358,-5.224,-5.192,-5.051,-4.427,4.814,8.1,34,-1.657,1.916,4.74,7.744,-7.907,-7.621,-1.637,1.58,495.6,499.9,496.6,497.2,499.8,497.4,500.6,499.1,503.1,498.7,1,norm,1.525,1.39,-1.806,-1.883,-5.15,-4.493,-1.261,-2.049,-1.333,-2.007,1.408,-2.095,500.5,505.8,-4.993,-7.563,1.171,-1.733,7.991,4.528,-5.29,-8.237,1,4.493,5.172,4.98,5.201,1.77,1.385,1.272,1.821,1,4.551,4.322,60,355.506175121,norm,0,7,7,7,243.164,243.174,243.17959069,243.18,243.181,243.184,up,1,1.19941176098,8.80058823902,001,011,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Oct_31_1250,testMonitor,
6.8,2.6,12.7,-3.2,36,-80,-10.8,12.0,7.1,26.0,7.598,8.409,7.651,7.706,8.364,8.036,8.297,4.755,-4.741,-7.982,2.004,-1.467,8.415,4.581,-4.445,-8.165,-1.3,5.1,-7.788,4.0,-6.5,-0.3,14.3,10.2,36,0.8,0,5,prime,10,0,69,norm,36,-4.83,down,norm,5.9742472525,6.3,10.1,4.6,-5.8,2,7.6,-14.0,2.0,10,6,8.417,4.417,2.085,-1.59,-4.869,-7.802,4.0,6,75.0,-8.416,-8.357,-80,-8.35,-8.231,-4.547,-4.565,-4.351,-4.456,4.403,7.776,2,-1.516,1.609,4.345,7.627,-8.436,-7.82,-2.078,1.138,5.4,-3.8,-0.7,,4.8,13.4,4.3,10.5,14.6,8.0,0,norm,1.196,1.716,-1.449,-2.066,-4.426,-4.955,-1.891,-1.845,-1.231,-1.475,1.122,-1.851,18.5,17.4,-4.995,-7.633,1.924,-1.273,8.308,4.762,-5.253,-8.21,2,4.501,4.305,4.654,4.637,1.446,1.767,1.365,1.993,2,4.588,4.449,10,355.506175121,norm,0,8,8,8,244.416,244.425,244.442116501,244.442,244.444,244.447,down,1,2.70104369564,7.29895630436,001,011,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Oct_31_1250,testMonitor,
6.0,4.4,16.0,-2.7,36,-80,9.3,16.5,-11.1,7.0,8.416,7.745,7.766,8.003,7.598,8.042,7.757,5.008,-4.514,-7.558,1.791,-1.305,8.208,4.341,-4.472,-8.177,8.3,8.9,-8.112,-2.8,6.3,-3.9,26.0,9.1,36,14.1,3,5,prime,10,0,98,norm,36,-4.638,down,norm,5.9742472525,-1.2,-10.5,-14.0,14.2,0,16.6,-5.8,0.7,10,6,8.491,4.749,1.444,-1.653,-5.3,-8.481,4.3,6,104.0,-8.077,-8.283,-80,-8.425,-8.28,-5.256,-4.829,-4.98,-5.093,4.909,8.168,18,-1.582,2.023,4.856,8.109,-8.215,-8.321,-1.715,1.865,12.3,13.5,8.5,4.5,7.8,13.9,9.8,16.9,3.6,9.9,1,norm,1.595,1.516,-1.695,-2.076,-4.884,-4.658,-1.841,-1.199,-1.449,-1.889,1.228,-1.108,6.4,,-4.408,-8.337,1.167,-1.847,8.157,4.533,-5.161,-7.677,2,4.46,4.905,4.408,4.668,1.82,1.602,1.24,1.785,2,4.786,4.423,10,355.506175121,norm,0,9,9,9,247.188,247.198,247.206109741,247.206,247.208,247.211,up,0,2.49952112007,-10,001,011,1920_1080,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Oct_31_1250,testMonitor,
