d_ori_22,d_ori_23,d_ori_20,d_ori_21,set_size,ctpd,d_ori_24,d_ori_25,d_ori_28,d_ori_29,stim_pos_x_30,stim_pos_x_31,stim_pos_x_32,stim_pos_x_33,stim_pos_x_34,stim_pos_x_35,stim_pos_y_11,stim_pos_y_10,stim_pos_y_13,stim_pos_y_12,stim_pos_y_15,stim_pos_y_14,stim_pos_y_17,stim_pos_y_16,stim_pos_y_19,stim_pos_y_18,d_ori_35,d_ori_34,stim_pos_x_3,d_ori_31,d_ori_30,d_ori_33,d_ori_32,d_ori_26,test_set_size,d_ori_27,targetCol,dsd_test,seq_type,dsd,blockRepN,targetDist,dtype_test,prime_set_size,stim_pos_y_25,correctResponse,dtype,distrMean,d_ori_17,d_ori_16,stim_pos_y_3,d_ori_14,targetRow,d_ori_11,d_ori_13,d_ori_12,dsd_prime,streak_length_prime,stim_pos_y_35,stim_pos_y_34,stim_pos_y_33,stim_pos_y_32,stim_pos_y_31,stim_pos_y_30,d_ori_10,nextProbe,targetOri,stim_pos_x_1,stim_pos_x_2,ctpd_prime,stim_pos_x_4,stim_pos_x_5,stim_pos_x_6,stim_pos_x_7,stim_pos_x_8,stim_pos_x_9,stim_pos_y_28,stim_pos_y_29,targetPos,stim_pos_y_20,stim_pos_y_21,stim_pos_y_22,stim_pos_y_23,stim_pos_y_24,stim_pos_x_0,stim_pos_y_26,stim_pos_y_27,d_ori_9,d_ori_8,d_ori_3,d_ori_2,d_ori_1,d_ori_0,d_ori_7,d_ori_6,d_ori_5,d_ori_4,trialN,dtype_prime,stim_pos_x_18,stim_pos_x_19,stim_pos_x_12,stim_pos_x_13,stim_pos_x_10,stim_pos_x_11,stim_pos_x_16,stim_pos_x_17,stim_pos_x_14,stim_pos_x_15,stim_pos_y_9,stim_pos_y_8,d_ori_19,d_ori_18,stim_pos_y_1,stim_pos_y_0,d_ori_15,stim_pos_y_2,stim_pos_y_5,stim_pos_y_4,stim_pos_y_7,stim_pos_y_6,totBlockN,stim_pos_x_27,stim_pos_x_26,stim_pos_x_25,stim_pos_x_24,stim_pos_x_23,stim_pos_x_22,stim_pos_x_21,stim_pos_x_20,blockN,stim_pos_x_29,stim_pos_x_28,prevDistrCTPD,prevDistrMean,prevDistrType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,timeStart,timeBeforeDraw,timeDraw,timeAfterSaving,timeAfterWritingToTemp,timeAfterPreparingNext,answer,correct,rt,trialScore,session,participant,resolution,cpu_info,expName,pc_name,graphic_card,date,monitorName,
,325.3,321.2,299.6,36,40,313.2,315.6,318.5,313.7,8.333,7.72,7.959,8.339,7.755,7.861,8.121,4.356,-4.635,-7.554,1.116,-1.68,7.526,4.417,-4.424,-7.826,309.3,307.4,-7.532,303.0,326.7,329.8,320.4,309.8,36,323.2,3,5,prime,10,0,96,norm,36,-5.258,up,norm,309.773006072,313.4,311.2,1.123,302.5,4,310.7,329.8,321.1,10,5,8.425,4.745,1.958,-1.272,-4.771,-7.908,320.2,5,405.8,-7.695,-8.011,40,-7.713,-8.41,-4.312,-4.686,-4.342,-4.719,4.563,8.36,22,-1.842,1.605,5.017,8.45,-7.646,-7.933,-1.178,2.089,301.9,318.7,320.4,321.6,290.8,300.9,303.6,318.9,310.9,289.8,0,norm,1.205,1.201,-1.471,-1.731,-5.01,-5.128,-2.008,-1.454,-1.224,-1.969,1.118,-1.366,299.7,312.5,-4.861,-7.755,312.5,-2.046,7.782,4.722,-5.022,-8.281,0,4.321,4.402,5.115,4.584,1.274,1.35,2.069,1.146,0,5.226,4.912,,,,0,0,0,0,2104.838,2104.848,2104.8555923,2104.856,2104.856,2104.859,up,1,2.11258409949,7.88741590051,001,307,1366_768,Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,orientation_search,GRVLAPTOP8,Intel(R) HD Graphics 4400,2018_nov_08_1319,testMonitor,
312.9,317.2,321.5,310.1,36,40,296.0,319.2,322.1,320.8,8.309,8.431,8.443,8.44,7.589,8.338,8.115,4.584,-4.813,-7.578,1.131,-1.808,8.488,5.158,-4.396,-7.96,305.0,304.2,-8.025,315.2,306.1,329.8,321.8,296.0,36,314.0,1,5,prime,10,0,65,norm,36,-4.911,down,norm,309.773006072,301.6,308.7,1.846,312.7,1,309.2,320.9,298.5,10,5,7.771,4.754,1.756,-1.833,-4.933,-7.882,319.2,5,374.8,-8.188,-8.02,40,-7.789,-8.313,-4.957,-5.27,-4.862,-4.816,5.089,8.209,7,-1.301,1.647,5.191,8.373,-8.408,-7.745,-1.701,1.287,303.3,321.4,289.8,304.9,319.3,290.3,,313.4,299.9,307.9,1,norm,1.202,1.646,-1.251,-1.57,-4.908,-4.814,-1.17,-1.175,-1.378,-1.5,1.873,-1.991,299.1,326.5,-5.224,-8.279,305.5,-2.087,8.295,4.563,-5.221,-8.415,0,5.127,4.498,4.918,4.372,1.641,1.367,1.439,2.079,0,4.315,5.177,,,,0,1,1,1,2106.997,2107.008,2107.01778266,2107.018,2107.02,2107.023,down,1,2.21001299897,7.78998700103,001,307,1366_768,Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,orientation_search,GRVLAPTOP8,Intel(R) HD Graphics 4400,2018_nov_08_1319,testMonitor,
317.6,314.9,315.2,308.9,36,40,303.2,299.9,309.6,307.1,8.117,8.171,8.046,8.402,7.573,8.195,7.993,5.252,-4.44,-7.556,1.18,-1.641,8.345,4.838,-5.167,-8.404,300.9,315.8,-7.816,320.2,300.4,302.0,318.2,310.5,36,309.2,0,5,prime,10,0,86,norm,36,-5.242,down,norm,309.773006072,302.4,299.8,1.133,294.5,2,305.4,296.7,321.3,10,5,8.26,5.126,2.05,-1.334,-4.499,-8.278,315.0,5,395.8,-7.726,-8.216,40,-8.491,-7.637,-4.648,-5.168,-4.374,-5.198,4.9,7.563,2,-1.806,1.713,5.181,8.363,-7.512,-7.769,-1.43,1.127,294.1,289.8,306.5,,308.7,310.8,301.8,296.6,296.9,306.0,2,norm,1.496,1.873,-1.543,-1.15,-4.533,-5.181,-1.535,-1.18,-1.125,-1.945,1.551,-1.543,304.9,312.9,-4.767,-8.122,307.3,-1.962,8.472,4.766,-5.079,-8.218,0,4.954,5.034,4.987,4.716,1.575,1.934,1.363,1.817,0,5.061,5.016,,,,0,2,2,2,2109.257,2109.27,2109.27306358,2109.273,2109.276,2109.279,up,0,0.935495573969,-10,001,307,1366_768,Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,orientation_search,GRVLAPTOP8,Intel(R) HD Graphics 4400,2018_nov_08_1319,testMonitor,
294.4,323.9,308.7,311.8,36,40,304.5,311.1,299.0,321.5,8.272,8.357,8.316,7.753,7.584,8.268,8.096,4.533,-4.31,-8.053,1.228,-1.831,8.183,4.918,-5.26,-7.977,324.8,301.5,-8.407,308.7,311.4,312.4,306.1,324.0,36,298.7,1,5,prime,10,0,115,norm,36,-4.38,up,norm,309.773006072,289.8,301.4,2.089,320.2,5,,322.6,302.6,10,5,8.384,5.185,1.375,-2.008,-4.971,-8.436,310.7,5,424.8,-7.767,-7.528,40,-7.714,-7.844,-4.84,-5.052,-4.568,-4.691,4.395,7.511,11,-1.792,1.244,4.948,7.81,-7.985,-8.426,-1.424,1.661,313.7,310.2,320.1,300.3,292.7,303.1,301.5,306.7,316.2,307.5,3,norm,1.807,1.397,-1.722,-1.597,-4.652,-4.783,-1.211,-1.846,-1.318,-2.037,1.812,-1.352,328.1,329.8,-4.664,-7.858,317.4,-1.405,8.127,4.437,-4.796,-8.107,0,4.553,4.546,4.706,4.601,1.172,1.601,1.259,1.134,0,5.184,4.957,,,,0,3,3,3,2111.248,2111.253,2111.25945638,2111.26,2111.262,2111.264,down,0,0.879998054394,-10,001,307,1366_768,Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,orientation_search,GRVLAPTOP8,Intel(R) HD Graphics 4400,2018_nov_08_1319,testMonitor,
326.3,,296.3,311.3,36,40,304.2,322.9,317.0,329.4,8.065,7.534,7.668,8.229,7.957,8.051,8.086,4.65,-4.56,-7.645,1.325,-2.058,8.133,4.383,-4.625,-7.738,289.8,304.5,-8.456,305.1,294.8,298.2,296.2,300.7,36,315.4,3,5,prime,10,0,104,norm,36,-4.673,up,norm,309.773006072,296.1,305.1,1.602,310.8,5,307.4,319.4,311.0,10,5,8.308,4.938,1.283,-2.091,-5.009,-7.986,312.1,5,413.8,-8.13,-8.171,40,-8.203,-7.81,-4.693,-5.24,-4.905,-4.424,5.125,7.883,23,-2.098,1.442,4.69,7.849,-8.49,-7.517,-1.211,1.925,323.1,319.2,310.9,315.5,313.8,321.1,329.8,308.0,308.0,299.8,4,norm,1.891,2.042,-1.111,-1.292,-4.562,-4.475,-2.095,-1.289,-1.298,-1.431,1.754,-1.835,310.4,300.3,-4.803,-8.161,302.5,-1.472,7.505,4.349,-4.482,-8.055,0,5.139,5.221,5.169,4.919,1.195,1.559,1.512,1.752,0,4.671,4.651,,,,0,4,4,4,2113.182,2113.187,2113.20499771,2113.205,2113.207,2113.21,down,0,0.714121306752,-10,001,307,1366_768,Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,orientation_search,GRVLAPTOP8,Intel(R) HD Graphics 4400,2018_nov_08_1319,testMonitor,
468.6,466.3,464.3,467.4,36,-10,459.7,472.3,466.2,463.0,8.05,7.71,8.172,7.599,8.391,8.241,8.014,4.628,-5.07,-7.831,2.066,-1.987,7.768,5.299,-4.568,-7.814,465.6,454.4,-8.04,461.5,471.0,463.8,466.7,465.6,36,459.0,3,5,probe,5,0,106,norm,36,-5.27,down,norm,464.430568893,458.6,465.6,1.806,466.5,0,456.2,461.3,458.0,10,5,8.409,4.832,1.157,-1.195,-4.634,-7.69,474.4,2,358.4,-7.938,-7.536,40,-8.005,-7.838,-4.429,-4.616,-5.288,-4.342,4.568,8.412,18,-2.038,1.649,4.898,7.614,-7.835,-8.146,-1.136,1.559,465.9,468.2,458.9,459.8,469.8,468.0,461.0,465.7,463.3,472.1,0,norm,1.634,2.078,-1.767,-1.369,-5.148,-4.728,-1.299,-1.414,-1.546,-1.534,1.178,-1.377,462.7,,-4.779,-8.102,458.4,-1.978,7.746,4.822,-5.123,-7.552,1,4.323,4.975,4.31,5.285,1.67,2.004,1.911,1.413,1,4.628,4.769,40,309.773006072,norm,0,5,5,5,2114.961,2114.967,2114.98478634,2114.985,2114.987,2114.99,down,1,2.50994289468,7.49005710532,001,307,1366_768,Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,orientation_search,GRVLAPTOP8,Intel(R) HD Graphics 4400,2018_nov_08_1319,testMonitor,
422.5,432.8,416.4,434.6,36,-10,420.2,425.1,428.6,421.4,7.821,8.298,7.854,7.767,7.963,7.569,7.792,4.775,-4.418,-7.996,1.78,-1.952,8.487,4.497,-5.044,-8.382,421.1,429.8,-7.76,434.3,425.3,422.0,426.6,427.9,36,429.7,3,5,probe,5,0,68,norm,36,-4.696,down,norm,426.430568893,436.4,426.9,1.53,420.0,1,426.3,432.6,429.9,10,5,7.929,4.531,1.4,-1.624,-5.114,-8.253,430.8,2,358.4,-7.83,-7.861,40,-7.826,-7.78,-4.5,-5.214,-5.2,-4.814,4.512,8.017,19,-1.397,1.954,4.939,8.212,-7.928,-8.158,-1.113,1.136,427.4,428.2,424.4,427.9,427.4,423.7,431.4,428.2,427.0,424.0,1,norm,1.519,1.763,-1.24,-1.245,-5.241,-4.884,-1.704,-1.975,-2.014,-1.415,1.117,-1.558,,425.9,-5.051,-8.234,425.0,-1.749,7.883,4.66,-4.651,-8.129,1,5.255,5.136,4.733,4.949,1.221,1.282,1.984,1.379,1,4.672,4.319,40,309.773006072,norm,0,6,6,6,2117.52,2117.535,2117.54091775,2117.542,2117.55,2117.559,down,1,3.56708927074,6.43291072926,001,307,1366_768,Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,orientation_search,GRVLAPTOP8,Intel(R) HD Graphics 4400,2018_nov_08_1319,testMonitor,
49.1,62.8,56.8,50.0,36,10,26.8,64.4,50.4,44.7,8.08,8.184,8.237,7.515,7.886,8.176,7.671,4.766,-4.829,-7.876,1.229,-1.863,7.733,4.392,-4.647,-8.029,43.6,43.9,-8.163,29.9,43.3,38.7,66.8,43.9,36,46.8,2,5,prime,10,0,69,norm,36,-4.999,up,norm,46.8244733825,51.6,49.5,1.327,57.8,3,44.0,45.2,42.4,10,6,8.321,4.317,2.038,-1.192,-4.729,-8.067,44.7,6,115.8,-7.602,-7.902,10,-7.7,-8.146,-4.965,-4.675,-4.971,-5.266,4.375,7.682,15,-1.623,1.771,4.914,8.373,-7.944,-7.62,-1.123,2.043,42.4,37.5,38.6,53.9,56.8,32.6,53.7,50.9,36.7,58.1,0,norm,1.768,1.733,-1.225,-1.269,-4.978,-4.779,-1.129,-1.575,-1.689,-1.992,1.903,-1.691,36.8,34.7,-5.253,-8.322,,-1.983,7.868,4.631,-5.239,-8.329,2,5.031,5.278,4.654,4.842,1.504,1.543,1.586,1.114,2,4.907,4.397,-10,309.773006072,norm,0,7,7,7,2121.146,2121.164,2121.16944087,2121.17,2121.173,2121.177,up,1,1.26329181368,8.73670818632,001,307,1366_768,Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,orientation_search,GRVLAPTOP8,Intel(R) HD Graphics 4400,2018_nov_08_1319,testMonitor,
56.3,33.9,30.6,31.3,36,10,48.8,29.9,47.1,54.8,8.378,7.813,7.911,8.037,7.983,7.996,8.471,4.307,-4.519,-7.606,1.63,-1.881,8.07,4.968,-4.695,-8.394,31.4,66.8,-7.899,55.6,42.9,56.9,26.8,33.4,36,50.5,1,5,prime,10,0,106,norm,36,-4.57,up,norm,46.8244733825,37.7,35.7,2.066,49.6,4,44.6,47.4,60.4,10,6,8.242,4.629,1.324,-1.794,-4.942,-7.586,,6,152.8,-8.285,-7.601,10,-7.967,-7.892,-4.324,-5.277,-4.4,-4.819,4.507,7.545,10,-1.863,1.924,4.551,7.614,-7.959,-8.307,-2.095,1.574,56.3,46.7,48.8,27.1,51.8,47.8,47.0,52.2,39.0,64.2,1,norm,1.147,1.417,-1.441,-1.323,-5.149,-5.015,-1.839,-1.824,-2.091,-2.033,1.302,-2.009,46.5,49.1,-5.185,-8.219,52.8,-1.141,7.755,4.465,-4.875,-8.377,2,4.824,4.699,5.038,4.975,1.118,1.996,2.056,2.043,2,4.42,4.518,-10,309.773006072,norm,0,8,8,8,2122.46,2122.469,2122.4869718,2122.487,2122.491,2122.495,up,1,1.24310302743,8.75689697257,001,307,1366_768,Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,orientation_search,GRVLAPTOP8,Intel(R) HD Graphics 4400,2018_nov_08_1319,testMonitor,
47.4,49.2,45.5,43.6,36,10,46.5,43.3,52.1,63.1,7.738,7.769,7.606,8.181,7.507,7.85,8.218,5.263,-4.355,-8.358,1.197,-1.701,7.73,5.13,-4.877,-8.298,52.8,48.9,-7.728,36.6,38.1,49.2,44.1,54.4,36,34.5,1,5,prime,10,0,118,norm,36,-4.441,up,norm,46.8244733825,46.9,27.8,1.405,41.3,4,33.2,47.4,35.9,10,6,8.431,5.271,1.112,-1.651,-4.609,-7.661,,6,164.8,-8.312,-8.249,10,-7.604,-8.354,-4.897,-4.498,-4.806,-4.49,4.864,8.483,10,-1.61,1.296,4.771,7.523,-7.882,-7.889,-1.392,1.442,38.5,43.7,30.2,42.3,59.2,57.3,52.8,41.7,66.8,64.6,2,norm,2.06,1.798,-1.312,-1.299,-4.808,-4.519,-1.114,-1.244,-1.84,-1.476,1.509,-1.423,42.9,37.2,-4.302,-7.724,26.8,-1.302,8.078,4.807,-4.763,-7.913,2,4.335,4.613,4.456,4.861,1.556,2.066,1.595,1.468,2,4.976,4.723,-10,309.773006072,norm,0,9,9,9,2123.757,2123.772,2123.77703444,2123.777,2123.78,2123.784,up,1,0.968480289806,9.03151971019,001,307,1366_768,Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,orientation_search,GRVLAPTOP8,Intel(R) HD Graphics 4400,2018_nov_08_1319,testMonitor,
