d_ori_22,d_ori_23,d_ori_20,d_ori_21,set_size,ctpd,d_ori_24,d_ori_25,d_ori_28,d_ori_29,stim_pos_x_30,stim_pos_x_31,stim_pos_x_32,stim_pos_x_33,stim_pos_x_34,stim_pos_x_35,stim_pos_y_11,stim_pos_y_10,stim_pos_y_13,stim_pos_y_12,stim_pos_y_15,stim_pos_y_14,stim_pos_y_17,stim_pos_y_16,stim_pos_y_19,stim_pos_y_18,d_ori_35,d_ori_34,stim_pos_x_3,d_ori_31,d_ori_30,d_ori_33,d_ori_32,d_ori_26,test_set_size,d_ori_27,targetCol,dsd_test,seq_type,dsd,blockRepN,targetDist,dtype_test,prime_set_size,stim_pos_y_25,correctResponse,dtype,distrMean,d_ori_17,d_ori_16,d_ori_15,d_ori_14,targetRow,d_ori_11,d_ori_13,d_ori_12,dsd_prime,streak_length_prime,stim_pos_y_35,stim_pos_y_34,stim_pos_y_33,stim_pos_y_32,stim_pos_y_31,stim_pos_y_30,d_ori_10,nextProbe,targetOri,stim_pos_x_1,stim_pos_x_2,ctpd_prime,stim_pos_x_4,stim_pos_x_5,stim_pos_x_6,stim_pos_x_7,stim_pos_x_8,stim_pos_x_9,stim_pos_y_28,stim_pos_y_29,targetPos,stim_pos_y_20,stim_pos_y_21,stim_pos_y_22,stim_pos_y_23,stim_pos_y_24,stim_pos_x_0,stim_pos_y_26,stim_pos_y_27,d_ori_9,d_ori_8,d_ori_3,d_ori_2,d_ori_1,d_ori_0,d_ori_7,d_ori_6,d_ori_5,d_ori_4,trialN,dtype_prime,stim_pos_x_18,stim_pos_x_19,stim_pos_x_12,stim_pos_x_13,stim_pos_x_10,stim_pos_x_11,stim_pos_x_16,stim_pos_x_17,stim_pos_x_14,stim_pos_x_15,stim_pos_y_9,stim_pos_y_8,d_ori_19,d_ori_18,stim_pos_y_1,stim_pos_y_0,stim_pos_y_3,stim_pos_y_2,stim_pos_y_5,stim_pos_y_4,stim_pos_y_7,stim_pos_y_6,totBlockN,stim_pos_x_27,stim_pos_x_26,stim_pos_x_25,stim_pos_x_24,stim_pos_x_23,stim_pos_x_22,stim_pos_x_21,stim_pos_x_20,blockN,stim_pos_x_29,stim_pos_x_28,prevDistrCTPD,prevDistrMean,prevDistrType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,timeStart,timeBeforeDraw,timeDraw,timeAfterSaving,timeAfterWritingToTemp,timeAfterPreparingNext,answer,correct,rt,trialScore,session,participant,resolution,cpu_info,expName,pc_name,graphic_card,date,monitorName
159.1,161.6,145.7,146.4,36,60,173.1,,146.7,154.8,8.106,7.871,7.938,7.532,8.017,7.781,7.728,4.856,-4.301,-7.865,1.894,-1.948,7.751,5.27,-5.083,-7.994,167.9,155.7,-8.479,156.2,168.2,133.1,146,136.6,36,161.4,4,5,prime,10,0,61,norm,36,-5.081,down,norm,153.1462851,163.4,150.5,152.4,167.7,1,152.8,145,157,10,6,7.624,5.109,1.185,-1.602,-4.368,-8.36,144.8,6,214.1,-8.113,-7.685,60,-7.872,-7.872,-4.337,-5.034,-5.204,-4.739,5.139,8.176,25,-1.705,2,4.476,8.431,-8.112,-7.787,-1.597,1.868,144.5,155.3,151,149.2,164.7,155.7,162.9,145.6,159.5,146,0,norm,1.63,1.102,-1.326,-1.785,-4.567,-4.373,-1.126,-1.825,-1.383,-1.593,1.765,-1.124,157,162.3,-4.309,-8.448,1.694,-1.387,8.187,4.807,-5.155,-8.483,0,5.169,4.694,5.104,5.246,1.859,1.569,1.374,1.615,0,5.153,4.413,,,,0,0,0,0,214.92,214.951,214.9708801,214.971,214.971,214.974,down,1,1.281929675,8.718070325,1,324,1920_1200,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Dec_19_1442,testMonitor
154,139.1,169.2,138.1,36,60,156.7,158.9,148.7,149.4,7.589,8.016,7.688,8.367,7.9,8.141,8.193,4.462,-5.134,-7.661,1.276,-1.201,7.556,4.552,-5.163,-7.844,161,140.2,-8.12,145.5,134.4,,167.8,161.2,36,173.1,5,5,prime,10,0,103,norm,36,-4.329,up,norm,153.1462851,144.5,151,133.1,156.7,3,153.2,136.8,158.2,10,6,7.778,5.069,1.539,-1.875,-4.803,-7.596,154.6,6,256.1,-7.886,-7.524,60,-8.404,-7.992,-5.192,-5.207,-5.072,-4.795,5.239,7.8,33,-1.345,2.028,4.977,8.317,-8.329,-8.12,-1.213,1.403,146.5,141.9,168.1,144.5,153.5,169.5,152.8,161.9,156.6,168.3,1,norm,2.097,1.877,-1.493,-2.087,-5.274,-5.185,-1.659,-1.434,-1.23,-1.95,1.537,-1.22,153.8,160.6,-4.53,-8.415,1.291,-1.253,8.024,4.925,-4.703,-7.997,0,4.973,5.222,5.123,4.753,1.925,1.962,1.555,1.934,0,4.483,5.296,,,,0,1,1,1,216.293,216.304,216.3108196,216.311,216.312,216.315,down,0,1.669844456,-10,1,324,1920_1200,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Dec_19_1442,testMonitor
146.4,145.7,153.8,154.6,36,60,158.8,152.7,153.9,173.1,8.43,7.705,8.405,8.383,7.64,7.761,8.371,4.913,-4.69,-8.143,1.245,-1.935,8.207,4.775,-4.696,-7.822,152.6,151.8,-8.384,152.1,151.6,155.7,142.1,149.4,36,172.9,3,5,prime,10,0,112,norm,36,-4.506,down,norm,153.1462851,149.6,153,153.2,147.8,0,155.1,151.4,151,10,6,7.894,4.431,1.462,-1.604,-4.366,-8.262,150.6,6,265.1,-8.393,-7.623,60,-7.754,-8.33,-5.083,-5.032,-5.024,-4.36,4.657,7.861,18,-1.749,1.899,4.309,8.325,-7.833,-8.499,-1.493,1.588,154.7,157.7,143.4,139,149.1,136.7,149.5,147,151.8,133.1,2,norm,1.504,1.322,-1.462,-1.928,-4.663,-5.099,-1.17,-1.42,-1.942,-2.013,1.27,-1.925,160,,-4.62,-8.292,1.256,-1.791,7.658,4.747,-4.84,-8.487,0,4.899,4.586,4.731,4.893,1.739,1.658,1.396,1.82,0,5.239,4.87,,,,0,2,2,2,219.05,219.061,219.0696534,219.07,219.072,219.074,down,1,1.657876054,8.342123946,1,324,1920_1200,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Dec_19_1442,testMonitor
148.7,133.1,,163.9,36,60,159.2,161.8,137.2,149,8.391,7.532,8.46,8.177,8.482,7.927,8.413,4.942,-5.265,-7.672,1.986,-1.167,7.593,4.522,-4.902,-8.003,140.8,137.8,-7.743,153.9,153.7,159.9,157.7,139.2,36,155.4,3,5,prime,10,0,109,norm,36,-4.696,down,norm,153.1462851,161,169,142.1,150.2,2,156.8,159.7,146.1,10,6,7.903,4.359,1.585,-1.742,-4.376,-8.454,154.3,6,262.1,-8.427,-7.946,60,-7.651,-8.275,-4.678,-4.657,-4.671,-4.598,5.097,7.869,20,-1.691,1.291,4.531,7.722,-7.588,-8.438,-1.358,1.352,161.9,139.4,149.9,148,159.2,144.7,157.5,164.1,151.8,173.1,3,norm,1.799,1.46,-2.06,-1.741,-4.533,-5.121,-1.481,-1.371,-2.054,-1.307,1.5,-1.841,155.3,145.3,-4.465,-8.387,1.601,-1.652,8.199,4.841,-4.716,-8.059,0,4.607,4.355,4.507,4.451,1.152,1.428,1.102,1.978,0,5.154,5.184,,,,0,3,3,3,220.771,220.781,220.7865857,220.787,220.788,220.791,down,1,1.793031764,8.206968236,1,324,1920_1200,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Dec_19_1442,testMonitor
146.8,,159.7,138,36,60,168.1,161.6,157.1,153.5,8.43,8.418,7.653,8.052,7.799,8.135,8.318,4.692,-5.161,-7.764,1.866,-1.673,7.672,4.322,-5.045,-8.458,147.6,156,-7.623,139,173.1,164.3,133.1,152.2,36,156.9,3,5,prime,10,0,65,norm,36,-5.052,up,norm,153.1462851,146.4,152.4,136.5,160,5,136.6,171.1,151.9,10,6,8.459,4.626,1.624,-1.932,-4.551,-8.223,157.2,6,218.1,-7.657,-7.667,60,-8.072,-7.731,-5.195,-4.378,-5.003,-4.557,5.279,8.26,23,-2.027,1.835,5.268,8.147,-7.852,-7.523,-1.689,1.578,161.9,155.2,146.1,134.9,160.1,170.2,143.5,154.6,151.9,153.3,4,norm,1.781,2.014,-1.972,-1.214,-4.439,-4.722,-1.699,-1.715,-1.961,-1.912,1.538,-1.102,163.6,165.7,-4.581,-8.357,1.743,-1.83,7.707,5.013,-4.811,-7.717,0,4.858,4.882,4.602,4.439,1.743,1.96,1.144,1.948,0,4.622,4.34,,,,0,4,4,4,222.627,222.637,222.6439471,222.644,222.646,222.649,up,1,1.580824597,8.419175403,1,324,1920_1200,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Dec_19_1442,testMonitor
149.8,149.4,142.8,153.9,36,60,141.8,157.6,163.5,154,8.181,7.751,7.575,7.526,7.977,7.515,7.998,4.487,-4.963,-7.621,1.475,-1.397,8.14,4.674,-4.734,-7.962,162.1,146.3,-8.187,133.4,168,147.7,161.2,173.1,36,133.1,2,5,prime,10,0,104,norm,36,-4.914,up,norm,153.1462851,166.8,153.1,,149.6,3,163.6,149.3,169,10,6,8.287,4.796,2.075,-1.349,-4.807,-8.356,136.3,6,257.1,-7.821,-7.875,60,-8.394,-8.252,-5.098,-4.928,-5.264,-4.816,5.167,7.816,15,-1.632,1.393,5.083,7.916,-7.804,-8.397,-2.057,2.028,153.6,143.5,143.1,147.4,145.8,140.9,159.1,150.6,141,166,5,norm,1.559,1.343,-1.734,-1.554,-4.576,-5.007,-2.063,-1.396,-1.419,-2.066,1.127,-2.043,153.7,158.5,-5.03,-7.578,2.058,-1.938,8.404,4.478,-5.113,-8.251,0,5.198,4.477,4.995,5.152,1.798,1.162,1.935,1.381,0,4.754,4.806,,,,0,5,5,5,224.249,224.26,224.2653828,224.266,224.267,224.27,up,1,1.160314106,8.839685894,1,324,1920_1200,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Dec_19_1442,testMonitor
296.6,294.3,290.2,292.1,36,-60,284.4,296.4,291.9,288.1,8.316,7.975,7.84,8.249,8.118,7.669,7.639,5.014,-4.679,-7.765,1.12,-1.293,8.464,4.451,-5.189,-7.784,291.2,296.6,-7.601,,291.2,286.2,284.8,289.2,36,299.4,5,5,probe,5,0,71,norm,36,-4.38,down,norm,291.9967446,287.9,295.2,288.7,302,1,283.5,301,289.4,10,6,8.454,5.294,1.253,-1.67,-5.224,-8.196,300.1,1,221,-7.711,-7.863,60,-8.142,-8.271,-5.034,-4.856,-5.07,-5.148,4.329,8.455,31,-1.278,1.137,4.801,8.45,-8.134,-7.626,-1.676,1.225,286.3,297,287.1,292,294.4,290.7,300.2,293.8,282,283,0,norm,1.212,1.381,-2.03,-2.046,-4.452,-4.435,-1.812,-1.672,-1.247,-1.284,1.701,-1.539,289.9,289.3,-5.054,-7.799,1.55,-1.943,8.232,4.387,-4.759,-8.496,1,5.276,4.991,5.128,4.727,1.281,1.104,1.443,1.584,1,4.488,4.48,60,153.1462851,norm,0,6,6,6,225.45,225.46,225.4665851,225.467,225.469,225.471,down,1,1.484147678,8.515852322,1,324,1920_1200,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Dec_19_1442,testMonitor
80,72,55.3,67.3,36,-80,69.7,88.9,62.9,87.7,8.465,7.812,8.484,7.854,8.178,8.351,8.429,5.277,-4.829,-7.541,1.968,-1.885,8.229,4.477,-4.99,-7.801,86.3,72.6,-8.498,56.6,63.8,82.4,78,78.5,36,77.2,1,5,prime,10,0,97,norm,36,-4.916,up,norm,71.31696931,77.5,59.6,70.7,91.3,3,59,69,69.6,10,6,7.585,5.172,1.45,-1.151,-5.232,-8.431,73.9,6,168.3,-8.057,-7.879,-80,-8.205,-8.457,-4.788,-4.88,-4.92,-4.663,4.57,7.738,9,-1.577,1.953,4.699,8.481,-8.318,-8.003,-1.981,1.168,,80.8,66.5,81.4,71.9,61.9,79.2,68.4,76,81.9,0,norm,2.054,1.726,-1.93,-2.095,-5.19,-5.22,-1.422,-1.37,-1.263,-1.233,1.577,-1.583,82.7,51.3,-4.559,-8.048,1.936,-1.411,8.313,5.099,-4.992,-7.549,2,4.772,4.424,4.311,5.062,1.104,1.172,1.128,1.898,2,4.597,5.013,-60,153.1462851,norm,0,7,7,7,226.988,226.998,227.003762,227.004,227.006,227.008,up,1,1.861242299,8.138757701,1,324,1920_1200,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Dec_19_1442,testMonitor
74.9,86.2,62,63.7,36,-80,82,89.1,63.8,61.8,7.985,7.53,7.649,7.732,8.031,7.821,7.672,4.807,-4.719,-7.761,1.636,-1.259,8.131,5.211,-5.268,-8.474,72.3,76.4,-8.372,68.1,82.2,78.5,59,73.2,36,52,2,5,prime,10,0,114,norm,36,-5.127,up,norm,71.31696931,70.3,,91.3,77.5,4,65.5,67.7,73.7,10,6,7.568,5.086,1.32,-1.93,-4.738,-8.042,61.9,6,185.3,-7.974,-8.325,-80,-8.087,-8.295,-5.023,-4.969,-5.239,-4.704,4.512,7.549,16,-1.26,1.328,4.738,8.061,-8.053,-7.625,-1.27,1.629,75.4,81.3,51.3,66.8,62.8,87,60.2,73.7,80.2,70.2,1,norm,1.104,1.741,-1.541,-1.62,-5.011,-4.449,-1.125,-1.121,-2.016,-1.913,1.898,-1.219,68.6,73.4,-4.934,-7.733,2.001,-1.19,8.059,4.368,-5.163,-8.229,2,4.983,4.529,4.89,4.311,1.667,1.22,2.016,1.858,2,4.682,4.333,-60,153.1462851,norm,0,8,8,8,228.903,228.916,228.9347835,228.935,228.937,228.939,up,1,1.690050379,8.309949621,1,324,1920_1200,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Dec_19_1442,testMonitor
61,53.7,69.3,68.1,36,-80,59.2,64.8,67.4,74.3,7.747,8.117,7.953,7.504,8.432,7.57,7.913,4.921,-4.475,-8.048,1.641,-1.651,8.248,5.16,-5.06,-8.288,90,,-7.696,63.8,62.9,77.7,74.6,72.6,36,78.1,5,5,prime,10,0,102,norm,36,-5.185,up,norm,71.31696931,64.5,74.5,76.1,51.3,4,68,81.1,64.6,10,6,7.837,4.833,1.568,-1.226,-4.544,-8.153,88.1,6,173.3,-7.573,-8.363,-80,-8.433,-7.974,-4.597,-5.01,-4.984,-4.658,5.118,8.102,34,-1.317,1.947,4.975,7.926,-8.019,-7.891,-1.192,1.483,70.7,91.3,81.5,59.5,79,69,74.3,61.3,74,80.8,2,norm,1.132,1.42,-2.051,-1.543,-4.978,-4.791,-1.877,-1.614,-1.203,-2.073,1.716,-1.814,58.9,82,-4.693,-8.035,2.002,-2.081,8.201,4.547,-4.654,-7.665,2,4.635,4.821,4.843,4.398,2.082,1.687,1.368,1.158,2,5.133,4.992,-60,153.1462851,norm,0,9,9,9,230.646,230.655,230.6755721,230.676,230.677,230.68,up,1,1.251418852,8.748581148,1,324,1920_1200,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,orientation_search,LEPPC096,Intel(R) HD Graphics 2500,2018_Dec_19_1442,testMonitor
