d_ori_22,d_ori_23,d_ori_20,d_ori_21,set_size,ctpd,d_ori_24,d_ori_25,d_ori_28,d_ori_29,stim_pos_x_30,stim_pos_x_31,stim_pos_x_32,stim_pos_x_33,stim_pos_x_34,stim_pos_x_35,stim_pos_y_11,stim_pos_y_10,stim_pos_y_13,stim_pos_y_12,stim_pos_y_15,stim_pos_y_14,stim_pos_y_17,stim_pos_y_16,stim_pos_y_19,stim_pos_y_18,d_ori_35,d_ori_34,stim_pos_x_3,d_ori_31,d_ori_30,d_ori_33,d_ori_32,d_ori_26,test_set_size,d_ori_27,targetCol,dsd_test,seq_type,dsd,blockRepN,targetDist,dtype_test,prime_set_size,stim_pos_y_25,correctResponse,dtype,distrMean,d_ori_17,d_ori_16,stim_pos_y_3,d_ori_14,targetRow,d_ori_11,d_ori_13,d_ori_12,dsd_prime,streak_length_prime,stim_pos_y_35,stim_pos_y_34,stim_pos_y_33,stim_pos_y_32,stim_pos_y_31,stim_pos_y_30,d_ori_10,nextProbe,targetOri,stim_pos_x_1,stim_pos_x_2,ctpd_prime,stim_pos_x_4,stim_pos_x_5,stim_pos_x_6,stim_pos_x_7,stim_pos_x_8,stim_pos_x_9,stim_pos_y_28,stim_pos_y_29,targetPos,stim_pos_y_20,stim_pos_y_21,stim_pos_y_22,stim_pos_y_23,stim_pos_y_24,stim_pos_x_0,stim_pos_y_26,stim_pos_y_27,d_ori_9,d_ori_8,d_ori_3,d_ori_2,d_ori_1,d_ori_0,d_ori_7,d_ori_6,d_ori_5,d_ori_4,trialN,dtype_prime,stim_pos_x_18,stim_pos_x_19,stim_pos_x_12,stim_pos_x_13,stim_pos_x_10,stim_pos_x_11,stim_pos_x_16,stim_pos_x_17,stim_pos_x_14,stim_pos_x_15,stim_pos_y_9,stim_pos_y_8,d_ori_19,d_ori_18,stim_pos_y_1,stim_pos_y_0,d_ori_15,stim_pos_y_2,stim_pos_y_5,stim_pos_y_4,stim_pos_y_7,stim_pos_y_6,totBlockN,stim_pos_x_27,stim_pos_x_26,stim_pos_x_25,stim_pos_x_24,stim_pos_x_23,stim_pos_x_22,stim_pos_x_21,stim_pos_x_20,blockN,stim_pos_x_29,stim_pos_x_28,prevDistrCTPD,prevDistrMean,prevDistrType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,timeStart,timeBeforeDraw,timeDraw,timeAfterSaving,timeAfterWritingToTemp,timeAfterPreparingNext,answer,correct,rt,trialScore,session,participant,resolution,cpu_info,expName,pc_name,graphic_card,date,monitorName,
173.8,,146.2,151.1,36,-60,160.1,167.0,145.2,150.9,7.73,7.858,7.922,8.217,7.668,7.844,8.149,4.303,-5.25,-7.569,1.478,-1.986,8.253,4.377,-4.971,-7.914,146.8,166.1,-8.46,161.0,165.4,165.6,168.8,140.0,36,167.8,3,5,prime,10,0,111,norm,36,-4.531,up,norm,160.001501964,151.8,180.0,1.7,159.6,5,156.9,159.5,154.6,10,3,8.335,5.038,1.202,-1.855,-5.09,-7.508,155.3,3,271.0,-8.235,-8.444,-60,-8.202,-8.097,-4.64,-4.391,-4.867,-4.475,4.613,8.194,23,-1.136,1.487,5.25,7.697,-7.763,-8.413,-2.085,1.904,172.5,158.6,165.9,168.5,166.3,149.7,148.5,162.5,154.7,158.5,0,norm,1.552,1.105,-1.327,-1.526,-4.997,-5.086,-1.868,-1.783,-1.356,-2.0,1.276,-1.239,153.7,160.8,-4.865,-8.062,170.0,-1.996,7.702,4.684,-4.93,-7.906,0,4.405,4.66,4.98,4.456,1.177,1.632,1.667,1.268,0,5.151,4.702,,,,0,0,0,0,373.877,373.888,373.895619125,373.896,373.896,373.9,up,1,4.38893203077,5.61106796923,001,008,800_600,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_jun_07_1123,testMonitor,
149.1,161.7,164.9,140.0,36,-60,147.1,154.6,177.0,154.8,8.155,7.618,8.314,8.361,8.009,7.55,7.524,4.802,-4.313,-8.034,1.838,-1.572,7.737,4.961,-4.415,-8.129,167.5,157.7,-7.958,169.7,159.3,160.4,156.0,167.0,36,180.0,0,5,prime,10,0,86,norm,36,-4.544,up,norm,160.001501964,154.2,164.8,1.882,155.3,3,172.4,152.5,159.1,10,3,7.983,5.125,1.954,-2.064,-4.716,-7.704,144.5,3,246.0,-7.742,-8.022,-60,-8.031,-7.58,-4.384,-4.953,-4.958,-4.485,4.452,8.437,3,-2.064,1.64,4.664,8.247,-7.758,-8.493,-1.567,2.039,160.0,155.7,,153.3,150.0,151.7,148.0,154.5,153.1,146.9,1,norm,1.943,1.609,-1.571,-1.636,-5.291,-5.159,-1.409,-1.977,-1.1,-1.432,1.94,-2.061,149.3,144.4,-4.414,-8.496,163.4,-1.525,8.102,4.916,-4.74,-7.852,0,4.596,4.325,5.115,4.683,1.626,1.406,1.557,1.747,0,4.441,4.732,,,,0,1,1,1,378.301,378.307,378.30881671,378.309,378.312,378.315,up,1,5.86378275546,4.13621724454,001,008,800_600,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_jun_07_1123,testMonitor,
177.1,151.2,170.5,171.8,36,-60,162.3,160.2,158.0,166.2,7.69,8.197,7.907,8.115,8.385,8.412,7.923,4.41,-4.919,-8.335,1.363,-1.753,8.321,4.713,-4.586,-7.587,169.9,162.8,-7.737,162.7,144.3,156.5,154.0,146.7,36,161.8,0,5,prime,10,0,92,norm,36,-5.285,down,norm,160.001501964,143.1,165.1,1.515,164.8,2,155.2,163.2,140.0,10,3,8.481,4.42,1.819,-2.061,-4.626,-8.346,166.4,3,252.0,-7.818,-7.857,-60,-7.832,-8.205,-4.572,-4.344,-4.579,-4.844,5.14,7.945,2,-1.688,1.644,4.355,8.212,-8.079,-8.45,-1.165,1.388,156.3,159.9,180.0,,163.4,149.3,173.6,160.5,179.5,155.3,2,norm,2.092,1.815,-1.78,-1.971,-4.521,-4.677,-1.68,-1.645,-2.039,-1.613,1.446,-1.509,169.5,165.2,-4.698,-7.969,160.5,-1.513,8.206,4.699,-4.79,-7.844,0,4.995,5.182,4.492,4.983,2.069,1.608,1.541,1.716,0,4.314,5.107,,,,0,2,2,2,384.189,384.194,384.195395498,384.196,384.199,384.202,down,1,5.43840452988,4.56159547012,001,008,800_600,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_jun_07_1123,testMonitor,
167.6,170.5,168.7,165.6,36,40,163.8,167.6,168.8,163.1,8.093,8.422,8.03,8.463,7.662,7.518,7.625,4.966,-4.342,-8.121,1.36,-1.755,7.599,4.757,-5.111,-8.175,159.0,160.3,-7.744,152.0,166.6,162.7,161.5,158.6,36,160.8,1,5,probe,5,0,67,norm,36,-4.505,up,norm,161.958517691,165.2,170.1,1.477,157.8,4,159.2,156.7,161.7,10,3,7.559,4.493,1.571,-1.637,-4.427,-8.236,,1,95.0,-8.361,-8.348,-60,-8.265,-8.159,-4.76,-4.775,-4.517,-4.705,4.686,8.429,10,-1.934,1.658,4.963,8.003,-8.114,-7.729,-1.136,1.181,170.4,165.2,157.6,163.9,154.9,167.3,171.4,160.6,165.7,163.5,0,norm,1.575,1.873,-1.889,-2.066,-4.86,-4.543,-1.391,-1.918,-1.41,-1.613,1.911,-1.634,169.1,157.6,-5.287,-8.384,158.2,-1.189,7.641,4.938,-5.063,-7.899,1,5.097,4.527,4.346,4.917,2.027,1.829,1.583,1.56,1,5.168,4.423,-60,160.001501964,norm,0,3,3,3,389.65,389.655,389.656494264,389.657,389.66,389.663,up,1,1.79388731238,8.20611268762,001,008,800_600,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_jun_07_1123,testMonitor,
196.5,208.8,198.8,,36,20,200.9,200.7,207.7,196.6,7.972,8.219,8.411,7.942,7.802,8.476,7.557,4.832,-4.982,-7.786,1.649,-1.273,8.283,5.157,-5.119,-8.36,198.7,190.6,-7.527,204.2,196.9,194.2,199.8,211.8,36,197.4,3,5,prime,10,0,89,norm,36,-4.561,up,norm,196.877574529,204.4,208.7,1.924,199.5,3,189.0,202.3,193.0,10,6,7.885,5.04,1.221,-2.054,-4.306,-8.425,185.6,6,285.9,-8.102,-7.559,20,-7.512,-7.897,-4.31,-4.955,-4.532,-5.085,5.112,7.688,21,-1.794,1.472,4.534,7.884,-7.852,-7.775,-1.102,1.385,210.3,188.3,192.5,199.9,180.6,194.7,187.0,192.0,176.9,189.4,0,norm,1.454,1.33,-1.201,-1.62,-5.256,-5.254,-1.287,-1.893,-1.906,-2.083,1.494,-1.551,216.9,209.8,-4.502,-8.44,199.5,-1.206,8.269,5.15,-4.657,-8.219,2,4.913,5.287,4.691,5.07,2.091,1.279,2.008,1.506,2,4.658,4.433,40,160.001501964,norm,0,4,4,4,391.465,391.471,391.472470165,391.473,391.476,391.48,down,0,3.67232139146,-10,001,008,800_600,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_jun_07_1123,testMonitor,
196.4,202.8,204.8,198.4,36,20,208.8,197.1,216.9,198.6,8.036,7.84,7.894,8.08,7.984,7.64,7.73,4.792,-4.31,-7.594,1.148,-1.278,8.126,5.011,-4.455,-7.757,199.8,188.4,-8.034,193.0,213.1,201.5,,186.0,36,176.9,5,5,prime,10,0,87,norm,36,-4.319,down,norm,196.877574529,187.7,188.5,1.129,203.2,2,196.3,187.8,210.3,10,6,7.527,4.433,1.394,-1.262,-4.603,-7.662,192.1,6,283.9,-8.137,-7.801,20,-7.679,-8.179,-4.534,-4.604,-4.76,-4.711,4.928,8.348,32,-1.418,1.752,4.405,7.659,-8.269,-8.423,-1.975,1.617,204.5,196.4,190.4,189.8,199.0,196.0,188.3,196.4,191.8,198.4,1,norm,1.626,1.119,-1.805,-1.429,-4.661,-4.675,-1.436,-1.128,-1.306,-1.841,1.976,-1.952,216.1,182.1,-4.729,-7.799,197.1,-1.568,7.548,4.732,-4.974,-7.976,2,4.392,4.618,4.554,4.77,1.547,1.196,1.202,1.427,2,5.118,4.353,40,160.001501964,norm,0,5,5,5,396.173,396.179,396.180457462,396.181,396.184,396.187,down,1,2.64282402208,7.35717597792,001,008,800_600,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_jun_07_1123,testMonitor,
185.3,206.0,196.6,216.9,36,20,196.0,182.7,188.1,199.9,8.141,8.065,7.614,8.473,8.464,8.22,7.864,4.792,-4.913,-8.182,1.644,-1.997,7.839,5.005,-4.776,-8.465,209.0,197.2,-7.684,188.0,199.5,176.9,204.2,184.7,36,201.9,1,5,prime,10,0,69,norm,36,-4.877,up,norm,196.877574529,206.8,186.5,1.989,192.9,3,216.4,212.8,196.2,10,6,8.105,4.706,1.648,-1.328,-5.058,-7.862,208.0,6,265.9,-7.975,-8.278,20,-7.726,-8.046,-4.329,-4.858,-4.89,-5.286,5.081,8.242,9,-1.345,1.134,4.826,8.242,-8.445,-8.147,-1.963,2.022,,198.6,211.9,187.1,193.3,192.9,191.6,185.5,187.6,185.6,2,norm,1.128,1.621,-1.478,-1.952,-4.332,-5.014,-1.884,-1.517,-1.561,-1.903,1.312,-1.348,206.5,207.2,-4.501,-8.016,194.5,-1.728,7.696,4.682,-5.194,-8.01,2,4.433,4.94,5.242,5.107,2.049,1.967,1.821,1.423,2,5.032,4.8,40,160.001501964,norm,0,6,6,6,398.839,398.845,398.846874149,398.847,398.85,398.854,up,1,8.30808311694,1.69191688306,001,008,800_600,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_jun_07_1123,testMonitor,
200.8,206.4,205.4,180.3,36,20,195.9,201.3,186.8,176.9,7.502,7.612,7.821,7.658,7.729,7.718,7.915,4.81,-5.182,-8.151,1.342,-1.751,8.376,4.319,-4.502,-7.561,191.2,214.0,-8.379,,207.0,184.4,188.3,193.3,36,198.7,5,5,prime,10,0,62,norm,36,-4.711,down,norm,196.877574529,184.3,182.4,1.133,192.6,1,195.1,192.3,193.8,10,6,7.692,4.398,1.643,-2.02,-4.943,-7.528,186.6,6,258.9,-7.887,-7.675,20,-7.653,-7.664,-5.199,-4.975,-4.831,-4.692,5.087,8.244,31,-1.246,1.199,4.677,8.214,-8.036,-7.803,-1.854,1.833,197.5,195.4,197.3,193.0,198.6,190.9,202.5,200.4,210.6,216.9,3,norm,2.075,1.818,-1.585,-1.556,-5.141,-5.101,-1.4,-1.582,-1.917,-1.505,1.477,-1.991,181.9,209.7,-4.706,-7.923,201.8,-1.552,7.634,5.192,-4.515,-8.495,2,5.211,4.55,5.116,4.921,1.836,1.192,1.39,2.083,2,5.163,4.327,40,160.001501964,norm,0,7,7,7,407.17,407.176,407.177612744,407.178,407.181,407.185,up,0,5.44992535651,-10,001,008,800_600,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_jun_07_1123,testMonitor,
178.4,198.1,211.3,182.7,36,20,176.9,194.4,191.1,212.4,8.449,7.603,8.016,7.518,7.992,8.394,7.526,5.29,-4.741,-8.252,1.637,-1.814,7.557,4.543,-4.796,-8.153,196.3,191.4,-8.329,213.1,203.0,194.8,197.4,207.6,36,197.5,2,5,prime,10,0,83,norm,36,-4.387,down,norm,196.877574529,196.8,205.7,2.065,193.3,0,214.3,205.5,,10,6,8.407,4.589,1.693,-1.919,-4.412,-7.889,187.2,6,279.9,-8.144,-7.505,20,-8.164,-7.658,-4.61,-4.507,-5.146,-5.221,4.53,7.876,12,-1.666,1.998,4.701,8.013,-8.394,-7.889,-1.185,1.425,188.8,212.1,197.6,214.8,185.2,178.6,194.2,204.5,195.2,191.9,4,norm,2.029,2.095,-1.26,-1.439,-4.839,-5.091,-1.159,-1.373,-1.485,-1.619,1.653,-1.16,196.4,216.9,-4.743,-8.08,192.0,-1.12,7.987,4.978,-4.948,-8.295,2,4.643,4.992,5.248,5.092,1.427,1.488,1.872,1.139,2,4.908,5.056,40,160.001501964,norm,0,8,8,8,413.645,413.652,413.654513421,413.655,413.659,413.664,down,1,4.85810172527,5.14189827473,001,008,800_600,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_jun_07_1123,testMonitor,
211.9,192.5,211.3,196.1,36,20,196.2,196.9,176.9,188.4,8.433,7.626,8.444,7.557,7.781,8.204,8.125,4.973,-5.117,-8.041,1.126,-1.344,8.101,4.423,-5.257,-7.538,189.7,213.7,-7.71,197.0,196.2,185.2,180.5,199.2,36,205.8,2,5,prime,10,0,75,norm,36,-4.634,up,norm,196.877574529,194.2,216.8,1.801,208.7,3,195.6,197.6,191.3,10,6,7.915,4.391,1.796,-1.397,-4.484,-7.885,193.8,6,271.9,-8.429,-7.737,20,-7.519,-7.58,-5.277,-4.421,-4.709,-5.235,5.094,8.387,15,-1.279,2.083,4.456,8.031,-7.678,-7.866,-1.736,1.968,186.2,213.0,209.1,190.8,182.9,202.1,206.8,183.8,206.0,187.9,5,norm,1.646,1.729,-1.399,-1.446,-4.529,-5.068,-2.094,-1.721,-1.871,-1.86,1.203,-1.408,216.9,215.7,-5.038,-7.799,,-2.003,7.54,4.592,-4.752,-8.297,2,4.73,4.551,5.057,4.488,1.786,1.101,1.353,1.295,2,4.913,4.382,40,160.001501964,norm,0,9,9,9,418.534,418.541,418.542968453,418.544,418.547,418.553,up,1,4.18331291942,5.81668708058,001,008,800_600,Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,orientation_search,GRVLAPTOP3,Intel(R) HD Graphics Family,2018_jun_07_1123,testMonitor,
